,vIG,vEAA,vENT,vRNAP,vAF,vdeg,wIG,wEAA,wENT,wRNAP,wAF,wRNase,wrP,prot_fraction,growth_rate,EGVs,name
1e-05EGM1,6.088888888888895,8.288418454025438,0.8943910288491795,0.0030498039953538543,0.0030498039953538543,0.002923693599182158,1.0298491083676288e-05,0.0005046725903117715,2.7229237989408376e-05,0.0012296939932470111,0.00011141950596359425,7.173544265845068e-05,0.000126110396171696,1e-05,1.096000000000001,EGM1,R_deg_hill2_glc
1e-05EGM2,6.088888888888895,8.288418454025438,0.8943910288491794,0.0030487418402967673,0.0030487418402967673,0.0029226314441250715,1.0298491083676288e-05,0.0005046725903117714,2.7229237989408376e-05,0.0012297433138260716,0.00011138070189884201,7.170938173222595e-05,0.000126110396171696,1e-05,1.096000000000001,EGM2,R_deg_hill2_glc
1e-05EGM3,6.088888888888895,8.288418454025438,0.8943910288491794,0.0030487418402967673,0.0030487418402967673,0.0029226314441250715,1.0298491083676288e-05,0.0005046725903117715,2.7229237989408376e-05,0.0012292657277927109,0.00011180905983337945,7.170938173222594e-05,0.00012611039617169598,1e-05,1.096000000000001,EGM3,R_deg_hill2_glc
1e-05EGM4,6.088888888888895,8.284665596758638,0.896290989100369,0.0030467753526068095,0.0030464110427095184,0.002920397059360725,1.0298491083676288e-05,0.0005044440830026376,2.7287081223722367e-05,0.0012284728315594385,0.00011129555009365452,7.165455909958601e-05,0.0001260139833487935,1e-05,1.096000000000001,EGM4,R_deg_hill2_glc
1e-05EGM5,6.088888888888895,8.288418454025438,0.8943910288491794,0.0030487418402967673,0.0030487418402967673,0.0029226314441250715,1.0298491083676288e-05,0.0005046725903117715,2.7229237989408376e-05,0.0012292657277927109,0.000111380701898842,7.376423529273764e-05,0.00012611039617169598,1e-05,1.096000000000001,EGM5,R_deg_hill2_glc
1e-05EGM6,6.088888888888895,8.288000541275105,0.8946026056712235,0.0030494630495765977,0.0030494630495765977,0.0029233228207746673,1.0298491083676288e-05,0.0005046471440687514,2.7235679328212833e-05,0.0012295565224538212,0.00011140705007786515,7.172634527793278e-05,0.00012614022880193054,1e-05,1.096000000000001,EGM6,R_deg_hill2_glc
1e-05EGM7,6.088888888888895,8.288418454025438,0.8943910288491794,0.0030487418402967673,0.0030487418402967673,0.0029226314441250715,1.0298491083676288e-05,0.0005046725903117715,2.7229237989408376e-05,0.0012292657277927109,0.000111380701898842,7.170938173222594e-05,0.00804328248190497,1e-05,1.096000000000001,EGM7,R_deg_hill2_glc
1e-05EGM8,6.088888888888894,8.288418454025436,0.8943910288491793,0.0030487418402967673,0.0030487418402967673,0.002922631444125071,1.2884552917571043e-05,0.0005046725903117714,2.7229237989408372e-05,0.0012292657277927109,0.00011138070189884201,7.170938173222594e-05,0.00012611039617169598,1e-05,1.096000000000001,EGM8,R_deg_hill2_glc
1e-05EGM9,6.088888888888895,8.288418454025438,0.8943910288491794,0.0030487418402967673,0.0030487418402967673,0.0029226314441250715,1.0298491083676288e-05,0.0005050152766594014,2.7229237989408376e-05,0.0012292657277927109,0.000111380701898842,7.170938173222594e-05,0.00012611039617169598,1e-05,1.096000000000001,EGM9,R_deg_hill2_glc
1e-05EGM10,6.088888888888895,8.288418454025438,0.8943910288491794,0.0030487418402967673,0.0030487418402967673,0.0029226314441250715,1.0298491083676288e-05,0.0005046725903117715,2.7571924337038328e-05,0.0012292657277927109,0.000111380701898842,7.170938173222594e-05,0.00012611039617169598,1e-05,1.096000000000001,EGM10,R_deg_hill2_glc
