,vIG,vEAA,vENT,vRNAP,vAF,vdeg,wIG,wEAA,wENT,wRNAP,wAF,wRNase,wrP,prot_fraction,growth_rate,EGVs,name
0.005EGM1,6.0944444444444485,8.301294629745692,0.8925168850799828,0.003058045907121295,0.003058045907121295,0.002931568639989358,1.0317292524005501e-05,0.0005059177893795017,2.719697285924283e-05,0.0012279837518501236,0.00011182254533706877,7.16350370746021e-05,0.00012647726713193726,0.005,1.0970000000000009,EGM1,R_deg_hill2_glc
0.005EGM2,6.0944444444444485,8.301294629745692,0.8925168850799828,0.0030549390578036746,0.0030549390578036746,0.002928461790671737,1.0317292524005503e-05,0.0005059177893795017,2.719697285924283e-05,0.0012281280598080042,0.00011170893821368779,7.155911892517962e-05,0.00012647726713193726,0.005,1.0970000000000009,EGM2,R_deg_hill2_glc
0.005EGM3,6.094444444444449,8.30129462974569,0.8925168850799827,0.003054939057803674,0.003054939057803674,0.0029284617906717375,1.0317292524005501e-05,0.0005059177893795017,2.719697285924283e-05,0.0012267361706831438,0.00011295735569029336,7.155911892517962e-05,0.00012647726713193726,0.005,1.0970000000000009,EGM3,R_deg_hill2_glc
0.005EGM4,6.0944444444444485,8.29037130046082,0.8980470424977774,0.0030492191715184376,0.003048154619007245,0.002921958233837848,1.0317292524005503e-05,0.0005052520731447514,2.7365489045001736e-05,0.0012244393028027945,0.00011146085390169835,7.140019972794257e-05,0.00012619638516939716,0.005,1.0970000000000009,EGM4,R_deg_hill2_glc
0.005EGM5,6.094444444444449,8.30129462974569,0.8925168850799827,0.003054939057803674,0.003054939057803674,0.0029284617906717375,1.0317292524005501e-05,0.0005059177893795017,2.719697285924283e-05,0.0012267361706831438,0.00011170893821368778,7.754783744764185e-05,0.00012647726713193726,0.005,1.0970000000000009,EGM5,R_deg_hill2_glc
0.005EGM6,6.094444444444449,8.300079294803902,0.8931321730904569,0.0030570450878479433,0.0030570450878479433,0.002930480629148693,1.0317292524005501e-05,0.0005058437214666605,2.7215722052228666e-05,0.0012275818645523064,0.00011178594871230655,7.160845072903767e-05,0.0001265644586992507,0.005,1.0970000000000009,EGM6,R_deg_hill2_glc
0.005EGM7,6.094444444444449,8.30129462974569,0.8925168850799827,0.003054939057803674,0.003054939057803674,0.0029284617906717375,1.0317292524005501e-05,0.0005059177893795017,2.719697285924283e-05,0.0012267361706831438,0.00011170893821368778,7.155911892517962e-05,0.00017262529054976638,0.005,1.0970000000000009,EGM7,R_deg_hill2_glc
0.005EGM8,6.0944444444444485,8.301294629745692,0.892516885079983,0.0030549390578036746,0.0030549390578036746,0.0029284617906717375,1.785417821868319e-05,0.0005059177893795017,2.719697285924283e-05,0.0012267361706831438,0.00011170893821368779,7.155911892517962e-05,0.0001264772671319373,0.005,1.0970000000000009,EGM8,R_deg_hill2_glc
0.005EGM9,6.094444444444449,8.30129462974569,0.8925168850799827,0.003054939057803674,0.003054939057803674,0.0029284617906717375,1.0317292524005501e-05,0.0005069165233607862,2.719697285924283e-05,0.0012267361706831438,0.00011170893821368778,7.155911892517962e-05,0.00012647726713193726,0.005,1.0970000000000009,EGM9,R_deg_hill2_glc
0.005EGM10,6.094444444444449,8.30129462974569,0.8925168850799827,0.003054939057803674,0.003054939057803674,0.0029284617906717375,1.0317292524005501e-05,0.0005059177893795017,2.81957068405273e-05,0.0012267361706831438,0.00011170893821368778,7.155911892517962e-05,0.00012647726713193726,0.005,1.0970000000000009,EGM10,R_deg_hill2_glc
0.01EGM1,6.1055555555555605,8.320607644643825,0.8920286425165993,0.0030638658154049808,0.0030638658154049808,0.0029368193117738288,1.0354946844993159e-05,0.0005080193223035318,2.7231652170159538e-05,0.0012263700605396576,0.0001122396177043359,7.153289946009399e-05,0.00012704650363115202,0.01,1.0990000000000009,EGM1,R_deg_hill2_glc
0.01EGM2,6.1055555555555605,8.320607644643825,0.8920286425165993,0.00306333507670638,0.00306333507670638,0.002936288573075228,1.0354946844993159e-05,0.0005080193223035318,2.7231652170159538e-05,0.0012263947422348478,0.00011222017497667716,7.15199721145762e-05,0.00012704650363115202,0.01,1.0990000000000009,EGM2,R_deg_hill2_glc
0.01EGM3,6.1055555555555605,8.320607644643827,0.8920286425165993,0.0030633350767063803,0.0030633350767063803,0.0029362885730752283,1.0354946844993159e-05,0.0005080193223035318,2.723165217015954e-05,0.001226157622368684,0.00011243285325663654,7.15199721145762e-05,0.00012704650363115202,0.01,1.0990000000000009,EGM3,R_deg_hill2_glc
0.01EGM4,6.1055555555555605,8.318745142036649,0.8929715723084355,0.0030623604717122175,0.0030621781960336746,0.0029351796720198044,1.0354946844993157e-05,0.0005079056061721269,2.726043772130476e-05,0.001225767518343996,0.00011217779458136705,7.149296231271648e-05,0.0001269985240138704,0.01,1.0990000000000009,EGM4,R_deg_hill2_glc
0.01EGM5,6.1055555555555605,8.320607644643825,0.8920286425165992,0.0030633350767063803,0.0030633350767063803,0.0029362885730752283,1.0354946844993157e-05,0.0005080193223035318,2.7231652170159538e-05,0.0012261576223686838,0.00011222017497667716,7.254020002582049e-05,0.00012704650363115202,0.01,1.0990000000000009,EGM5,R_deg_hill2_glc
0.01EGM6,6.1055555555555605,8.320401050468753,0.8921332350158234,0.0030636942600961977,0.0030636942600961977,0.00293663285995758,1.0354946844993157e-05,0.0005080067085813982,2.7234845146733075e-05,0.0012263013922927128,0.00011223333306152414,7.15283580029562e-05,0.00012706140013861726,0.01,1.0990000000000009,EGM6,R_deg_hill2_glc
0.01EGM7,6.10555555555556,8.320607644643825,0.8920286425165993,0.00306333507670638,0.00306333507670638,0.002936288573075228,1.0354946844993159e-05,0.0005080193223035317,2.7231652170159538e-05,0.0012261576223686838,0.00011222017497667713,7.15199721145762e-05,0.00013097735305770566,0.01,1.0990000000000009,EGM7,R_deg_hill2_glc
0.01EGM8,6.10555555555556,8.320607644643825,0.8920286425165993,0.00306333507670638,0.00306333507670638,0.0029362885730752283,1.1638917884995637e-05,0.0005080193223035317,2.723165217015954e-05,0.001226157622368684,0.00011222017497667714,7.15199721145762e-05,0.00012704650363115202,0.01,1.0990000000000009,EGM8,R_deg_hill2_glc
0.01EGM9,6.1055555555555605,8.320607644643825,0.8920286425165992,0.0030633350767063803,0.0030633350767063803,0.0029362885730752283,1.0354946844993157e-05,0.0005081894649274993,2.7231652170159538e-05,0.0012261576223686838,0.00011222017497667716,7.15199721145762e-05,0.00012704650363115202,0.01,1.0990000000000009,EGM9,R_deg_hill2_glc
0.01EGM10,6.1055555555555605,8.320607644643825,0.8920286425165992,0.0030633350767063803,0.0030633350767063803,0.0029362885730752283,1.0354946844993157e-05,0.0005080193223035318,2.7401794794127045e-05,0.0012261576223686838,0.00011222017497667716,7.15199721145762e-05,0.00012704650363115202,0.01,1.0990000000000009,EGM10,R_deg_hill2_glc
0.015EGM1,6.111111111111117,8.333570638888324,0.8901105451053125,0.0030722338374743158,0.0030722338374743158,0.0029448169980226925,1.0373799725651597e-05,0.0005092737612653979,2.7197822211551235e-05,0.0012246221073311896,0.00011264857404072501,7.143037684821599e-05,0.0001274168394516234,0.015,1.100000000000001,EGM1,R_deg_hill2_glc
0.015EGM2,6.111111111111116,8.333570638888322,0.8901105451053124,0.0030695869722369372,0.0030695869722369372,0.002942170132785314,1.0373799725651596e-05,0.0005092737612653979,2.7197822211551238e-05,0.001224745234519521,0.00011255152231535446,7.13661736799039e-05,0.00012741683945162338,0.015,1.100000000000001,EGM2,R_deg_hill2_glc
0.015EGM3,6.111111111111117,8.333570638888322,0.8901105451053124,0.003069586972236938,0.003069586972236938,0.0029421701327853145,1.0373799725651597e-05,0.0005092737612653979,2.7197822211551238e-05,0.0012235670412599545,0.00011360827103893492,7.13661736799039e-05,0.0001274168394516234,0.015,1.100000000000001,EGM3,R_deg_hill2_glc
0.015EGM4,6.111111111111117,8.324328432741948,0.8947895997730079,0.003064754120941951,0.0030638460237676,0.0029366674878779976,1.0373799725651597e-05,0.0005087089597786751,2.7340793326397487e-05,0.0012216406200139236,0.00011234102087147877,7.123269985125666e-05,0.0001271785358896023,0.015,1.100000000000001,EGM4,R_deg_hill2_glc
0.015EGM5,6.111111111111117,8.333570638888322,0.8901105451053124,0.003069586972236938,0.003069586972236938,0.0029421701327853145,1.0373799725651597e-05,0.0005092737612653979,2.7197822211551238e-05,0.0012235670412599545,0.00011255152231535449,7.643544799966251e-05,0.0001274168394516234,0.015,1.100000000000001,EGM5,R_deg_hill2_glc
0.015EGM6,6.111111111111117,8.332546386787541,0.8906290935446312,0.0030713752102738408,0.0030713752102738408,0.0029438841420608534,1.0373799725651597e-05,0.0005092111680814613,2.7213666747197084e-05,0.001224279850228611,0.00011261709104337428,7.140774921025275e-05,0.00012749106821298778,0.015,1.100000000000001,EGM6,R_deg_hill2_glc
0.015EGM7,6.111111111111117,8.333570638888322,0.8901105451053124,0.003069586972236938,0.003069586972236938,0.0029421701327853145,1.0373799725651597e-05,0.0005092737612653979,2.7197822211551238e-05,0.0012235670412599545,0.00011255152231535449,7.13661736799039e-05,0.00014043782155000162,0.015,1.100000000000001,EGM7,R_deg_hill2_glc
0.015EGM8,6.111111111111116,8.333570638888324,0.8901105451053124,0.0030695869722369377,0.0030695869722369377,0.002942170132785314,1.6753552081632638e-05,0.0005092737612653979,2.7197822211551235e-05,0.0012235670412599543,0.00011255152231535447,7.13661736799039e-05,0.00012741683945162338,0.015,1.100000000000001,EGM8,R_deg_hill2_glc
0.015EGM9,6.111111111111117,8.333570638888322,0.8901105451053124,0.003069586972236938,0.003069586972236938,0.0029421701327853145,1.0373799725651597e-05,0.0005101191602442624,2.7197822211551238e-05,0.0012235670412599545,0.00011255152231535449,7.13661736799039e-05,0.0001274168394516234,0.015,1.100000000000001,EGM9,R_deg_hill2_glc
0.015EGM10,6.111111111111117,8.333570638888322,0.8901105451053124,0.003069586972236938,0.003069586972236938,0.0029421701327853145,1.0373799725651597e-05,0.0005092737612653979,2.80432211904156e-05,0.0012235670412599545,0.00011255152231535449,7.13661736799039e-05,0.0001274168394516234,0.015,1.100000000000001,EGM10,R_deg_hill2_glc
0.02EGM1,6.122222222222227,8.352970794999916,0.8895781855318626,0.00307813018110806,0.00307813018110806,0.002950139850332558,1.0411556927297686e-05,0.0005113874342272175,2.7230976679336485e-05,0.0012229636952089083,0.00011306998198603618,7.13256911482993e-05,0.0001279903307755027,0.02,1.102000000000001,EGM1,R_deg_hill2_glc
0.02EGM2,6.122222222222228,8.352970794999917,0.8895781855318629,0.0030780367470609996,0.0030780367470609996,0.002950046416285497,1.0411556927297688e-05,0.0005113874342272176,2.7230976679336492e-05,0.0012229680468087026,0.00011306654984204083,7.132343218827658e-05,0.00012799033077550272,0.02,1.102000000000001,EGM2,R_deg_hill2_glc
0.02EGM3,6.122222222222228,8.352970794999916,0.8895781855318629,0.003078036747061,0.003078036747061,0.0029500464162854974,1.0411556927297688e-05,0.0005113874342272176,2.7230976679336492e-05,0.0012229265731767886,0.00011310374849958839,7.132343218827658e-05,0.0001279903307755027,0.02,1.102000000000001,EGM3,R_deg_hill2_glc
0.02EGM4,6.122222222222228,8.352645183857529,0.8897430327892718,0.0030778666019660103,0.003077834473235077,0.0029498525533708194,1.0411556927297688e-05,0.0005113674995895003,2.72360228370494e-05,0.0012228589732827468,0.00011305911965016861,7.131874515407517e-05,0.00012798191986425814,0.02,1.102000000000001,EGM4,R_deg_hill2_glc
0.02EGM5,6.122222222222228,8.352970794999917,0.8895781855318629,0.0030780367470609996,0.0030780367470609996,0.002950046416285497,1.0411556927297688e-05,0.0005113874342272176,2.7230976679336492e-05,0.0012229265731767886,0.00011306654984204083,7.150187593296966e-05,0.0001279903307755027,0.02,1.102000000000001,EGM5,R_deg_hill2_glc
0.02EGM6,6.122222222222227,8.352934819578795,0.8895963988198429,0.0030780997670075308,0.0030780997670075308,0.0029501068157487573,1.0411556927297686e-05,0.0005113852317319912,2.723153420831855e-05,0.0012229516114637183,0.00011306886477474341,7.13248924693753e-05,0.0001279929512587733,0.02,1.102000000000001,EGM6,R_deg_hill2_glc
0.02EGM7,6.122222222222228,8.352970794999916,0.8895781855318627,0.003078036747060999,0.003078036747060999,0.0029500464162854965,1.0411556927297686e-05,0.0005113874342272175,2.723097667933649e-05,0.0012229265731767884,0.00011306654984204081,7.132343218827656e-05,0.00012833409489123023,0.02,1.102000000000001,EGM7,R_deg_hill2_glc
0.02EGM8,6.122222222222228,8.352970794999917,0.8895781855318629,0.0030780367470609996,0.0030780367470609996,0.002950046416285497,1.0636130866052293e-05,0.0005113874342272175,2.7230976679336492e-05,0.0012229265731767886,0.00011306654984204084,7.132343218827658e-05,0.0001279903307755027,0.02,1.102000000000001,EGM8,R_deg_hill2_glc
0.02EGM9,6.122222222222227,8.352970794999916,0.8895781855318627,0.0030780367470609996,0.0030780367470609996,0.002950046416285497,1.0411556927297686e-05,0.0005114171931532556,2.7230976679336492e-05,0.0012229265731767886,0.00011306654984204081,7.132343218827658e-05,0.0001279903307755027,0.02,1.102000000000001,EGM9,R_deg_hill2_glc
0.02EGM10,6.122222222222227,8.352970794999916,0.8895781855318627,0.0030780367470609996,0.0030780367470609996,0.002950046416285497,1.0411556927297686e-05,0.0005113874342272175,2.7260735605374533e-05,0.0012229265731767886,0.00011306654984204081,7.132343218827658e-05,0.0001279903307755027,0.02,1.102000000000001,EGM10,R_deg_hill2_glc
0.025EGM1,6.1277777777777835,8.366008504437936,0.887622262035606,0.003086605247844103,0.003086605247844103,0.002958241413026646,1.0430461248285341e-05,0.0005126504100219473,2.7195759861813173e-05,0.0012211812563554046,0.00011348418627906829,7.12212276041484e-05,0.00012836383481745685,0.025,1.103000000000001,EGM1,R_deg_hill2_glc
0.025EGM2,6.1277777777777835,8.366008504437936,0.8876222620356061,0.0030843284466161324,0.0030843284466161324,0.0029559646117986752,1.0430461248285341e-05,0.0005126504100219473,2.7195759861813177e-05,0.0012212873270475762,0.00011340047588725323,7.116641240963702e-05,0.00012836383481745685,0.025,1.103000000000001,EGM2,R_deg_hill2_glc
0.025EGM3,6.1277777777777835,8.366008504437936,0.8876222620356061,0.0030843284466161324,0.0030843284466161324,0.0029559646117986757,1.0430461248285341e-05,0.0005126504100219473,2.7195759861813177e-05,0.0012202804651103996,0.00011430355359398262,7.116641240963702e-05,0.00012836383481745685,0.025,1.103000000000001,EGM3,R_deg_hill2_glc
0.025EGM4,6.1277777777777835,8.358114119171349,0.8916189549945379,0.0030802062706343884,0.003079424181224763,0.002951264452527486,1.0430461248285341e-05,0.0005121666596358892,2.7318214093304894e-05,0.0012186495717372283,0.0001132201623963639,7.10532535877251e-05,0.00012815972869727717,0.025,1.103000000000001,EGM4,R_deg_hill2_glc
0.025EGM5,6.1277777777777835,8.366008504437936,0.8876222620356061,0.0030843284466161324,0.0030843284466161324,0.0029559646117986757,1.0430461248285341e-05,0.0005126504100219473,2.7195759861813177e-05,0.0012202804651103996,0.00011340047588725323,7.549851948988862e-05,0.00012836383481745685,0.025,1.103000000000001,EGM5,R_deg_hill2_glc
0.025EGM6,6.1277777777777835,8.365137081426562,0.8880634376428509,0.003085861452866176,0.003085861452866176,0.002957433817268594,1.0430461248285341e-05,0.000512597011156306,2.720927699222404e-05,0.001220886982092037,0.0001134568394170465,7.120178430887066e-05,0.00012842763559758148,0.025,1.103000000000001,EGM6,R_deg_hill2_glc
0.025EGM7,6.1277777777777835,8.366008504437936,0.8876222620356061,0.0030843284466161324,0.0030843284466161324,0.0029559646117986757,1.0430461248285343e-05,0.0005126504100219473,2.7195759861813177e-05,0.0012202804651103996,0.00011340047588725323,7.116641240963702e-05,0.00013504032756755523,0.025,1.103000000000001,EGM7,R_deg_hill2_glc
0.025EGM8,6.1277777777777835,8.366008504437934,0.8876222620356061,0.0030843284466161324,0.0030843284466161324,0.0029559646117986757,1.5882478363214987e-05,0.0005126504100219473,2.7195759861813177e-05,0.0012202804651103996,0.00011340047588725323,7.116641240963702e-05,0.00012836383481745685,0.025,1.103000000000001,EGM8,R_deg_hill2_glc
0.025EGM9,6.1277777777777835,8.366008504437936,0.8876222620356061,0.0030843284466161324,0.0030843284466161324,0.0029559646117986757,1.0430461248285341e-05,0.0005133728721873308,2.7195759861813177e-05,0.0012202804651103996,0.00011340047588725323,7.116641240963702e-05,0.00012836383481745685,0.025,1.103000000000001,EGM9,R_deg_hill2_glc
0.025EGM10,6.1277777777777835,8.366008504437936,0.8876222620356061,0.0030843284466161324,0.0030843284466161324,0.0029559646117986757,1.0430461248285341e-05,0.0005126504100219473,2.7918222027196676e-05,0.0012202804651103996,0.00011340047588725323,7.116641240963702e-05,0.00012836383481745685,0.025,1.103000000000001,EGM10,R_deg_hill2_glc
0.03EGM1,6.133333333333339,8.379080233229814,0.8856491155501682,0.0030951425345923872,0.0030951425345923872,0.0029664038487237547,1.0449382716049403e-05,0.000513916920971429,2.7159906210205182e-05,0.0012193836642673931,0.00011390124527299996,7.111591431874815e-05,0.00012873868586863268,0.03,1.104000000000001,EGM1,R_deg_hill2_glc
0.03EGM2,6.13333333333334,8.379080233229814,0.8856491155501682,0.0030906276121091614,0.0030906276121091614,0.0029618889262405285,1.0449382716049403e-05,0.0005139169209714291,2.7159906210205185e-05,0.0012195940646675145,0.00011373509612561723,7.10076745588075e-05,0.0001287386858686327,0.03,1.104000000000001,EGM2,R_deg_hill2_glc
0.03EGM3,6.133333333333339,8.379080233229814,0.8856491155501681,0.003090627612109161,0.003090627612109161,0.002961888926240528,1.0449382716049401e-05,0.000513916920971429,2.7159906210205182e-05,0.0012176049343187883,0.00011551919303839766,7.100767455880749e-05,0.00012873868586863268,0.03,1.104000000000001,EGM3,R_deg_hill2_glc
0.03EGM4,6.133333333333339,8.36350528380039,0.89353425018931,0.0030825008583054,0.0030809516195676877,0.002952615982762418,1.0449382716049401e-05,0.0005129616574064244,2.7401717005805532e-05,0.0012144032624341898,0.000113379019600091,7.078536704860263e-05,0.00012833563680526982,0.03,1.104000000000001,EGM4,R_deg_hill2_glc
0.03EGM5,6.133333333333339,8.379080233229814,0.8856491155501681,0.003090627612109161,0.003090627612109161,0.002961888926240528,1.0449382716049401e-05,0.000513916920971429,2.7159906210205182e-05,0.0012176049343187883,0.00011373509612561723,7.956607303340008e-05,0.00012873868586863268,0.03,1.104000000000001,EGM5,R_deg_hill2_glc
0.03EGM6,6.133333333333339,8.377362558217264,0.8865187234292573,0.003093662261018793,0.003093662261018793,0.0029647971682316534,1.0449382716049401e-05,0.000513811570237326,2.718657418516392e-05,0.0012188004854980425,0.00011384677120549167,7.107739611352703e-05,0.00012886509278713947,0.03,1.104000000000001,EGM6,R_deg_hill2_glc
0.03EGM7,6.133333333333339,8.379080233229814,0.8856491155501681,0.003090627612109161,0.003090627612109161,0.002961888926240528,1.0449382716049401e-05,0.000513916920971429,2.7159906210205182e-05,0.0012176049343187883,0.00011373509612561723,7.100767455880749e-05,0.00013973027423998008,0.03,1.104000000000001,EGM7,R_deg_hill2_glc
0.03EGM8,6.133333333333339,8.379080233229812,0.8856491155501681,0.003090627612109161,0.003090627612109161,0.002961888926240528,2.1220246430977834e-05,0.000513916920971429,2.7159906210205182e-05,0.001217604934318788,0.00011373509612561723,7.100767455880749e-05,0.00012873868586863268,0.03,1.104000000000001,EGM8,R_deg_hill2_glc
0.03EGM9,6.133333333333339,8.379080233229814,0.8856491155501681,0.003090627612109161,0.003090627612109161,0.002961888926240528,1.0449382716049401e-05,0.0005153441985016534,2.7159906210205182e-05,0.0012176049343187883,0.00011373509612561723,7.100767455880749e-05,0.00012873868586863268,0.03,1.104000000000001,EGM9,R_deg_hill2_glc
0.03EGM10,6.133333333333339,8.379080233229814,0.8856491155501681,0.003090627612109161,0.003090627612109161,0.002961888926240528,1.0449382716049401e-05,0.000513916920971429,2.858718374042954e-05,0.0012176049343187883,0.00011373509612561723,7.100767455880749e-05,0.00012873868586863268,0.03,1.104000000000001,EGM10,R_deg_hill2_glc
0.035EGM1,6.144444444444449,8.398610194627205,0.8850510394130774,0.0031011643195214267,0.0031011643195214267,0.0029718459811201377,1.0487277091906738e-05,0.0005160479375143165,2.7190734710857344e-05,0.001217660253808599,0.00011432959124635669,7.100753763677812e-05,0.00012931833840128902,0.035,1.106000000000001,EGM1,R_deg_hill2_glc
0.035EGM2,6.144444444444449,8.398610194627205,0.8850510394130772,0.0030991116950013125,0.0030991116950013125,0.0029697933566000235,1.0487277091906738e-05,0.0005160479375143163,2.719073471085734e-05,0.001217756022616275,0.00011425391782238181,7.095849343536522e-05,0.00012931833840128902,0.035,1.106000000000001,EGM2,R_deg_hill2_glc
0.035EGM3,6.144444444444449,8.398610194627205,0.8850510394130774,0.0030991116950013125,0.0030991116950013125,0.002969793356600024,1.048727709190674e-05,0.0005160479375143165,2.7190734710857348e-05,0.0012168542986780045,0.00011506269483163088,7.095849343536522e-05,0.00012931833840128902,0.035,1.106000000000001,EGM3,R_deg_hill2_glc
0.035EGM4,6.144444444444449,8.39154415533695,0.8886283653890996,0.0030954275185313307,0.003094721634699731,0.0029655864827594523,1.0487277091906738e-05,0.0005156137686557041,2.730063811445403e-05,0.001215407720943547,0.00011409207093259684,7.085797686941083e-05,0.00012913515194027902,0.035,1.106000000000001,EGM4,R_deg_hill2_glc
0.035EGM5,6.144444444444449,8.398610194627205,0.8850510394130774,0.0030991116950013125,0.0030991116950013125,0.002969793356600024,1.048727709190674e-05,0.0005160479375143165,2.7190734710857348e-05,0.0012168542986780045,0.00011425391782238182,7.483823554615406e-05,0.00012931833840128902,0.035,1.106000000000001,EGM5,R_deg_hill2_glc
0.035EGM6,6.144444444444449,8.397833276152506,0.8854443701782532,0.003100488989552787,0.003100488989552787,0.002971113180024151,1.048727709190674e-05,0.0005160002001902598,2.7202818706031915e-05,0.0012173950880913743,0.00011430469408151284,7.099002851896579e-05,0.00012937580952863595,0.035,1.106000000000001,EGM6,R_deg_hill2_glc
0.035EGM7,6.144444444444449,8.398610194627205,0.8850510394130774,0.0030991116950013125,0.0030991116950013125,0.0029697933566000235,1.0487277091906738e-05,0.0005160479375143165,2.7190734710857344e-05,0.0012168542986780043,0.00011425391782238181,7.095849343536522e-05,0.00013358928382528623,0.035,1.106000000000001,EGM7,R_deg_hill2_glc
0.035EGM8,6.144444444444449,8.398610194627205,0.8850510394130773,0.003099111695001313,0.003099111695001313,0.0029697933566000235,1.5369986590469173e-05,0.0005160479375143166,2.7190734710857344e-05,0.0012168542986780043,0.00011425391782238182,7.095849343536522e-05,0.00012931833840128902,0.035,1.106000000000001,EGM8,R_deg_hill2_glc
0.035EGM9,6.144444444444449,8.398610194627205,0.8850510394130774,0.0030991116950013125,0.0030991116950013125,0.002969793356600024,1.048727709190674e-05,0.0005166949591217157,2.7190734710857348e-05,0.0012168542986780045,0.00011425391782238182,7.095849343536522e-05,0.00012931833840128902,0.035,1.106000000000001,EGM9,R_deg_hill2_glc
0.035EGM10,6.144444444444449,8.398610194627205,0.8850510394130774,0.0030991116950013125,0.0030991116950013125,0.002969793356600024,1.048727709190674e-05,0.0005160479375143165,2.7837756318256593e-05,0.0012168542986780045,0.00011425391782238182,7.095849343536522e-05,0.00012931833840128902,0.035,1.106000000000001,EGM10,R_deg_hill2_glc
0.04EGM1,6.150000000000006,8.411757953582898,0.8830394011122397,0.0031098124904330327,0.0031098124904330327,0.002980116078394673,1.050625000000002e-05,0.0005173231141453486,2.7153461584201392e-05,0.0012158275187580138,0.00011475208089697902,7.090024712621762e-05,0.0001296964120383602,0.04,1.107000000000001,EGM1,R_deg_hill2_glc
0.04EGM2,6.150000000000006,8.411757953582898,0.8830394011122398,0.0031053766692917322,0.0031053766692917322,0.0029756802572533723,1.050625000000002e-05,0.0005173231141453486,2.7153461584201395e-05,0.0012160345391727747,0.00011458839909686502,7.079471405070891e-05,0.0001296964120383602,0.04,1.107000000000001,EGM2,R_deg_hill2_glc
0.04EGM3,6.150000000000006,8.411757953582896,0.8830394011122397,0.0031053766692917322,0.0031053766692917322,0.002975680257253372,1.050625000000002e-05,0.0005173231141453486,2.7153461584201392e-05,0.0012140932684041829,0.00011632956964777125,7.079471405070891e-05,0.0001296964120383602,0.04,1.107000000000001,EGM3,R_deg_hill2_glc
