,G,AA,NT,rRNA,rP,R,IG,EAA,ENT,RNAP,AF,RNase,growth_rate,EGVs,prot_fraction,name
1e-05EGM1,-7.293435928194453e-17,1.6895429240519287e-17,0.0,0.0,-3.412862677988127e-21,0.26464772919242785,0.0006616404663923189,0.24468101977820927,0.013201584248742574,0.4277921397200789,0.04321572261416412,0.005800163979985327,1.096000000000001,EGM1,1e-05,R_deg_hill2_glc
1e-05EGM2,-7.293435928194453e-17,9.901622561604901e-17,0.0,0.0,5.688104463313545e-21,0.26464772919242696,0.0006616404663923189,0.24468101977820922,0.013201584248742574,0.42780929761152536,0.0432006718770052,0.005798056825697684,1.096000000000001,EGM2,1e-05,R_deg_hill2_glc
1e-05EGM3,-7.293435928194453e-17,1.0591780679122135e-16,0.0,0.0,5.119294016982191e-21,0.26464772919242696,0.0006616404663923189,0.24468101977820927,0.013201584248742574,0.4276431525768795,0.04336681691165106,0.005798056825697682,1.096000000000001,EGM3,1e-05,R_deg_hill2_glc
1e-05EGM4,3.646717964097226e-17,-1.1061972377776343e-16,0.0,0.0007645112998557026,2.8440522316567725e-21,0.26444540301297853,0.0006616404663923189,0.24457023230431232,0.013229628453700236,0.4273673158418297,0.04316764447519388,0.005793624145737234,1.096000000000001,EGM4,1e-05,R_deg_hill2_glc
1e-05EGM5,-7.293435928194453e-17,1.1350880477551401e-16,0.0,0.0,5.119294016982191e-21,0.26464772919242696,0.0006616404663923189,0.24468101977820927,0.013201584248742574,0.4276431525768795,0.043200671877005194,0.005964201860343546,1.096000000000001,EGM5,1e-05,R_deg_hill2_glc
1e-05EGM6,1.4586871856388905e-16,-6.601081707736601e-17,1.0512272317837605e-15,0.0,3.412862677988127e-21,0.2647103341646347,0.0006616404663923189,0.24466868264555885,0.013204707210792957,0.4277443156881728,0.0432108914125004,0.005799428411947595,1.096000000000001,EGM6,1e-05,R_deg_hill2_glc
1e-05EGM7,-7.293435928194453e-17,1.1425314579767764e-16,0.0,0.0,0.0001661450346458624,0.26464772919242696,0.0006616404663923189,0.24468101977820927,0.013201584248742574,0.4276431525768795,0.043200671877005194,0.005798056825697682,1.096000000000001,EGM7,1e-05,R_deg_hill2_glc
1e-05EGM8,-3.646717964097226e-17,-7.626614483180259e-17,-1.0512272317837605e-15,0.0,-3.981673124319482e-21,0.26464772919242785,0.0008277855010381813,0.24468101977820922,0.013201584248742572,0.4276431525768795,0.0432006718770052,0.005798056825697682,1.096000000000001,EGM8,1e-05,R_deg_hill2_glc
1e-05EGM9,-7.293435928194453e-17,1.9424941969935415e-16,0.0,0.0,5.119294016982191e-21,0.26464772919242696,0.0006616404663923189,0.2448471648128551,0.013201584248742574,0.4276431525768795,0.043200671877005194,0.005798056825697682,1.096000000000001,EGM9,1e-05,R_deg_hill2_glc
1e-05EGM10,-7.293435928194453e-17,1.0591780679122135e-16,0.0,0.0,5.119294016982191e-21,0.26464772919242696,0.0006616404663923189,0.24468101977820927,0.013367729283388438,0.4276431525768795,0.043200671877005194,0.005798056825697682,1.096000000000001,EGM10,1e-05,R_deg_hill2_glc
0.005EGM1,-1.4573574799090467e-16,2.0339118822254944e-17,0.0,0.0,1.9890217612826582e-18,0.26517567402320424,0.0006622441529492459,0.2450611352156176,0.013173921105815995,0.4268077492004726,0.04333251050390875,0.005786765798031002,1.0970000000000009,EGM1,0.005,R_deg_hill2_glc
0.005EGM2,-1.4573574799090467e-16,1.0341924824875395e-18,-1.0502689571877862e-15,0.0,-2.5573136930777035e-18,0.26517567402320513,0.000662244152949246,0.2450611352156176,0.013173921105815995,0.42685790601614865,0.043288486449078074,0.005780633037185632,1.0970000000000009,EGM2,0.005,R_deg_hill2_glc
0.005EGM3,1.4573574799090467e-16,-1.4237383175578461e-16,1.0502689571877862e-15,0.0,6.5353572156430195e-18,0.2651756740232033,0.0006622441529492459,0.2450611352156176,0.013173921105815995,0.42637413001860536,0.0437722624466214,0.005780633037185632,1.0970000000000009,EGM3,0.005,R_deg_hill2_glc
0.005EGM4,-1.0930181099317848e-16,-1.2617148286347983e-16,0.0,0.0022208098649625584,5.682919317950452e-19,0.2645867692703857,0.000662244152949246,0.24473866943235376,0.013255548533534901,0.4255758124441702,0.04319235095133266,0.005767795350310923,1.0970000000000009,EGM4,0.005,R_deg_hill2_glc
0.005EGM5,1.4573574799090467e-16,-1.3892652348082615e-16,1.0502689571877862e-15,0.0,6.5353572156430195e-18,0.2651756740232033,0.0006622441529492459,0.2450611352156176,0.013173921105815995,0.42637413001860536,0.04328848644907807,0.006264409034728964,1.0970000000000009,EGM5,0.005,R_deg_hill2_glc
0.005EGM6,0.0,-5.343327826185621e-17,1.0502689571877862e-15,0.0,2.2731677271801806e-18,0.26535848223179204,0.0006622441529492459,0.24502525751535686,0.013183003013220597,0.42666806607131463,0.04331832889480536,0.005784618120560735,1.0970000000000009,EGM6,0.005,R_deg_hill2_glc
0.005EGM7,1.4573574799090467e-16,-1.3823706182583446e-16,1.0502689571877862e-15,0.0,0.0004837759975433379,0.2651756740232033,0.0006622441529492459,0.2450611352156176,0.013173921105815995,0.42637413001860536,0.04328848644907807,0.005780633037185632,1.0970000000000009,EGM7,0.005,R_deg_hill2_glc
0.005EGM8,-1.821696849886308e-16,6.894616549916931e-19,0.0,0.0,2.2731677271801806e-18,0.26517567402320424,0.0011460201504925771,0.2450611352156176,0.013173921105815995,0.42637413001860536,0.043288486449078074,0.005780633037185632,1.0970000000000009,EGM8,0.005,R_deg_hill2_glc
0.005EGM9,1.4573574799090467e-16,-1.6995229795545236e-16,1.0502689571877862e-15,0.0,6.5353572156430195e-18,0.2651756740232033,0.0006622441529492459,0.24554491121316094,0.013173921105815995,0.42637413001860536,0.04328848644907807,0.005780633037185632,1.0970000000000009,EGM9,0.005,R_deg_hill2_glc
0.005EGM10,1.4573574799090467e-16,-8.170120611651563e-17,1.0502689571877862e-15,0.0,6.5353572156430195e-18,0.2651756740232033,0.0006622441529492459,0.2450611352156176,0.013657697103359326,0.42637413001860536,0.04328848644907807,0.005780633037185632,1.0970000000000009,EGM10,0.005,R_deg_hill2_glc
0.01EGM1,3.636763319973212e-17,-1.0426335257704452e-16,0.0,0.0,5.672577335570196e-19,0.26588440250377554,0.0006634515260631006,0.24563127150958963,0.013166714442146055,0.42547118236822684,0.043414978604288584,0.0057679990459100485,1.0990000000000009,EGM1,0.01,R_deg_hill2_glc
0.01EGM2,3.636763319973212e-17,-2.061179808371276e-16,0.0,0.0,5.672577335570196e-19,0.26588440250377554,0.0006634515260631006,0.24563127150958963,0.013166714442146055,0.42547974532191707,0.043407458036929414,0.005766956659579067,1.0990000000000009,EGM2,0.01,R_deg_hill2_glc
0.01EGM3,-1.0910289959919637e-16,-7.39822468781009e-17,1.048357639704278e-15,0.0,5.672577335570196e-19,0.26588440250377554,0.0006634515260631006,0.24563127150958963,0.013166714442146055,0.42539748004729405,0.043489723311552465,0.005766956659579067,1.0990000000000009,EGM3,0.01,R_deg_hill2_glc
0.01EGM4,-1.454705327989285e-16,-5.712117665937093e-17,1.048357639704278e-15,0.00037765397638066635,4.5380618684561566e-18,0.2657839902019119,0.0006634515260631006,0.24557628888054026,0.013180632478760968,0.42526213915308014,0.043391065037797175,0.0057647787454649605,1.0990000000000009,EGM4,0.01,R_deg_hill2_glc
