,wIG,wEAA,wENT,wRNAP,wAF,wRNase,wrP,prot_fraction,name
1e-05EGM1,0.0018141096279104068,0.6236263551845886,0.04815692759229371,0.1157392452830074,0.1855876511902577,0.025070276798366826,5.434323576525423e-06,1e-05,R_deg2_noact
1e-05EGM2,0.0018141096279104172,0.6236263551845922,0.048156927592293994,0.11606824151820629,0.18529905886073722,0.025029872892690354,5.434323576525454e-06,1e-05,R_deg2_noact
1e-05EGM3,0.0018141096279104172,0.6236263551845922,0.048156927592293994,0.11555926855395807,0.1858080318249854,0.025029872892690354,5.434323576525454e-06,1e-05,R_deg2_noact
1e-05EGM4,0.001816288932938658,0.6239549707874376,0.048321235393717965,0.1155731388089049,0.18529905886073625,0.02502987289269023,5.434323576525429e-06,1e-05,R_deg2_noact
1e-05EGM5,0.0018141096279104172,0.6236263551845922,0.048156927592293994,0.11555926855395807,0.18529905886073722,0.025538845856938563,5.434323576525454e-06,1e-05,R_deg2_noact
1e-05EGM6,0.0018128408684083112,0.6230571485968197,0.04815692759229357,0.11555926855395704,0.18529905886073555,0.02502987289269013,5.434323576525405e-06,1e-05,R_deg2_noact
1e-05EGM7,0.0018141096279104172,0.6236263551845922,0.048156927592293994,0.11555926855395807,0.18529905886073722,0.025029872892690354,0.0005144072878247398,1e-05,R_deg2_noact
1e-05EGM8,0.002323082592158618,0.6236263551845885,0.048156927592293716,0.11555926855395741,0.18529905886073608,0.0250298728926902,5.434323576525423e-06,1e-05,R_deg2_noact
1e-05EGM9,0.0018141096279104172,0.6241353281488404,0.048156927592293994,0.11555926855395807,0.18529905886073722,0.025029872892690354,5.434323576525454e-06,1e-05,R_deg2_noact
1e-05EGM10,0.0018141096279104172,0.6236263551845922,0.04866590055654222,0.11555926855395807,0.18529905886073722,0.025029872892690354,5.434323576525454e-06,1e-05,R_deg2_noact
0.005EGM1,0.0018146934273752515,0.6242537976331244,0.04806439881656013,0.11426398090189878,0.18414094014932647,0.024740840593492592,0.0027213484782292333,0.005,R_deg2_noact
0.005EGM2,0.001814693427375241,0.6242537976331207,0.048064398816559856,0.11463863513886888,0.18381209553571445,0.024695030970132658,0.0027213484782292172,0.005,R_deg2_noact
0.005EGM3,0.001814693427375241,0.6242537976331207,0.048064398816559856,0.11405992473373226,0.18439080594085108,0.024695030970132658,0.0027213484782292172,0.005,R_deg2_noact
0.005EGM4,0.0018171713320664538,0.6246274388321936,0.04825121941609731,0.11407569543556428,0.1838120955357138,0.024695030970132564,0.0027213484782292064,0.005,R_deg2_noact
0.005EGM5,0.001814693427375241,0.6242537976331207,0.048064398816559856,0.11405992473373226,0.18381209553571445,0.025273741375269273,0.0027213484782292172,0.005,R_deg2_noact
0.005EGM6,0.0018132461051590723,0.6236044820309851,0.04806439881655992,0.1140599247337324,0.18381209553571473,0.024695030970132693,0.0027213484782292207,0.005,R_deg2_noact
0.005EGM7,0.001814693427375241,0.6242537976331207,0.048064398816559856,0.11405992473373226,0.18381209553571445,0.024695030970132658,0.0033000588833658286,0.005,R_deg2_noact
0.005EGM8,0.0023934038325118517,0.6242537976331205,0.048064398816559856,0.11405992473373226,0.18381209553571445,0.024695030970132665,0.0027213484782292172,0.005,R_deg2_noact
0.005EGM9,0.001814693427375241,0.6248325080382573,0.048064398816559856,0.11405992473373226,0.18381209553571445,0.024695030970132658,0.0027213484782292172,0.005,R_deg2_noact
