,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
1e-05EGM1,0.0,1.1538909147474808e-16,8.582725313133212e-17,0.0,0.45735306670861914,0.0005064930212620031,0.0805525770833334,0.01673831250000001,0.004804153200000001,0.0017141965347285055,0.4383312009520571,0.839,EGM1,1e-05
1e-05EGM2,0.0,7.743196815302233e-17,8.582725313133212e-17,0.0,0.0,0.0005064930212620031,0.5379056437919526,0.01673831250000001,0.004804153200000001,0.0017141965347285055,0.4383312009520571,0.839,EGM2,1e-05
1e-05EGM3,-1.9055079326105187e-16,9.298157083489547e-17,0.0,0.0,0.0,0.0005064930212620031,0.0805525770833334,0.01673831250000001,0.004804153200000001,0.45906726324334773,0.43833120095205713,0.839,EGM3,1e-05
1e-05EGM4,0.0,1.0267333191312348e-16,8.582725313133212e-17,0.0,0.0,0.0005064930212620031,0.0805525770833334,0.47409137920861916,0.004804153200000001,0.0017141965347285055,0.4383312009520571,0.839,EGM4,1e-05
1e-05EGM5,0.0,-7.279164908286703e-17,0.0,0.0,0.0,0.457987526016283,0.08056245005153896,0.016733314109222446,0.004802718584948523,0.001713684641779314,0.4382003065962279,0.839,EGM5,1e-05
1e-05EGM6,0.0,6.423289704339634e-17,0.0,0.0,0.0,0.0005064930212620031,0.08056245005153896,0.47421434710424337,0.004802718584948523,0.001713684641779314,0.4382003065962279,0.839,EGM6,1e-05
1e-05EGM7,0.0,5.769454573737404e-17,0.0,0.0,0.45748103299502085,0.0005064930212620031,0.08056245005153896,0.016733314109222446,0.004802718584948523,0.001713684641779314,0.4382003065962279,0.839,EGM7,1e-05
1e-05EGM8,0.0,2.952602187325727e-17,0.0,0.0,0.0,0.0005064930212620031,0.08056245005153896,0.016733314109222446,0.004802718584948523,0.45919471763680025,0.4382003065962279,0.839,EGM8,1e-05
1e-05EGM9,0.0,-1.5097103345492976e-17,0.0,0.0,0.0,0.0005064930212620031,0.5380434830465599,0.016733314109222446,0.004802718584948523,0.001713684641779314,0.4382003065962279,0.839,EGM9,1e-05
1e-05EGM10,1.9055079326105187e-16,5.521900462083511e-17,8.582725313133212e-17,0.0,0.0,0.0005064930212620031,0.5380420484315084,0.016733314109222446,0.004804153200000001,0.001713684641779314,0.4382003065962279,0.839,EGM10,1e-05
1e-05EGM11,0.0,7.80693407591298e-18,8.582725313133212e-17,0.00023298700136844324,0.0,0.45786047321896967,0.0805525770833334,0.01673831250000001,0.004804153200000002,0.001713285375533335,0.4380982116207954,0.839,EGM11,1e-05
1e-05EGM12,0.0,-9.109850453038737e-18,8.582725313133212e-17,0.0,0.0,0.4578595597298812,0.0805525770833334,0.01673831250000001,0.004804153200000001,0.0017141965347285055,0.4383312009520571,0.839,EGM12,1e-05
1e-05EGM13,-1.4291309494578894e-16,1.4491511334800537e-16,8.582725313133212e-17,0.0,0.0,0.0005064930212620031,0.08056245005153896,0.016733314109222446,0.004804153200000001,0.45919328302174883,0.4382003065962279,0.839,EGM13,1e-05
1e-05EGM14,1.9055079326105187e-16,-6.017008685391299e-17,8.582725313133212e-17,0.0,0.0,0.4579860914012315,0.08056245005153896,0.016733314109222446,0.004804153200000001,0.001713684641779314,0.4382003065962279,0.839,EGM14,1e-05
1e-05EGM15,0.0,1.7308363721212215e-16,8.582725313133212e-17,0.00023298700136844324,0.4573539801977076,0.000506493021262003,0.0805525770833334,0.01673831250000001,0.004804153200000002,0.001713285375533335,0.4380982116207954,0.839,EGM15,1e-05
1e-05EGM16,0.0,1.4145094041287707e-16,8.582725313133212e-17,0.00023298700136844324,0.0,0.000506493021262003,0.0805525770833334,0.01673831250000001,0.004804153200000002,0.459067265573241,0.4380982116207954,0.839,EGM16,1e-05
1e-05EGM17,0.0,3.6654206944600004e-17,8.582725313133212e-17,0.00023298700136844324,0.0,0.000506493021262003,0.5379065572810411,0.01673831250000001,0.004804153200000002,0.001713285375533335,0.4380982116207954,0.839,EGM17,1e-05
1e-05EGM18,1.9055079326105187e-16,1.915991353497633e-17,8.582725313133212e-17,0.0,0.0,0.0005064930212620031,0.08056245005153896,0.4742129124891919,0.004804153200000001,0.001713684641779314,0.4382003065962279,0.839,EGM18,1e-05
1e-05EGM19,1.9055079326105187e-16,5.769454573737404e-17,8.582725313133212e-17,0.0,0.4574795983799694,0.0005064930212620031,0.08056245005153896,0.016733314109222446,0.004804153200000001,0.001713684641779314,0.4382003065962279,0.839,EGM19,1e-05
1e-05EGM20,0.0,6.189557070470115e-17,8.582725313133212e-17,0.00023298700136844324,0.0,0.000506493021262003,0.0805525770833334,0.47409229269770764,0.004804153200000002,0.001713285375533335,0.4380982116207954,0.839,EGM20,1e-05
0.005EGM1,-4.7580986769649563e-17,7.113192310302994e-17,0.0,0.0009722641467885729,0.0,0.45605043374185344,0.08068799375000006,0.01673831250000001,0.004804153200000001,0.0017189674320000022,0.43902787522935816,0.84,EGM1,0.005
0.005EGM2,-9.516197353929913e-17,-1.350606134867657e-18,8.57250778299853e-17,0.0,0.0,0.0005070967078189304,0.08068799375000005,0.01673831250000001,0.004804153200000001,0.4572574187165531,0.4400050251256281,0.84,EGM2,0.005
0.005EGM3,-4.7580986769649563e-17,1.350606134867657e-17,0.0,0.0009722641467885729,0.0,0.0005070967078189304,0.5362313307840346,0.01673831250000001,0.004804153200000001,0.0017189674320000022,0.43902787522935816,0.84,EGM3,0.005
0.005EGM4,-4.7580986769649563e-17,4.366959836072091e-17,-8.57250778299853e-17,0.0,0.0,0.0005070967078189304,0.08072931202583804,0.0167173942832497,0.004804153200000001,0.457786902075331,0.4394551417077626,0.84,EGM4,0.005
0.005EGM5,9.516197353929913e-17,1.1525172350870674e-16,8.57250778299853e-17,0.0,0.4555346253569922,0.0005070967078189304,0.08068799375000006,0.01673831250000001,0.004804153200000001,0.001722793359560963,0.4400050251256281,0.84,EGM5,0.005
0.005EGM6,-4.7580986769649563e-17,1.1705253168853027e-17,8.57250778299853e-17,0.0,0.0,0.4565733584342292,0.08072931202583804,0.016717394283249698,0.004804153200000001,0.0017206403489207758,0.43945514170776245,0.84,EGM6,0.005
0.005EGM7,-4.7580986769649563e-17,9.634323762055953e-17,0.0,0.0009722641467885729,0.0,0.0005070967078189304,0.08068799375000006,0.47228164953403445,0.004804153200000001,0.0017189674320000022,0.43902787522935816,0.84,EGM7,0.005
0.005EGM8,9.516197353929913e-17,-4.051818404602971e-18,8.57250778299853e-17,0.0,0.0,0.0005070967078189304,0.5362226191069922,0.01673831250000001,0.004804153200000001,0.001722793359560963,0.4400050251256281,0.84,EGM8,0.005
0.005EGM9,-4.7580986769649563e-17,9.184121717100067e-17,0.0,0.0,0.0,0.45657936228425516,0.08072931202583804,0.0167173942832497,0.004798149349973945,0.0017206403489207758,0.4394551417077625,0.84,EGM9,0.005
0.005EGM10,-4.7580986769649563e-17,3.421535541664731e-17,0.0,0.0,0.0,0.0005070967078189304,0.5368015776022744,0.0167173942832497,0.004798149349973945,0.0017206403489207758,0.4394551417077625,0.84,EGM10,0.005
