,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
1e-05EGM1,15.733333333333345,18.366602195566198,3.8552733891467073,0.0005435989838595243,0.0005435989838595243,6.87604938271606e-05,0.002597611654642751,0.0003032815066128745,3.568017724857347e-05,5.131574407633913e-05,0.0005435989838595243,1e-05,2.832,EGM1
1e-05EGM2,15.733333333333345,18.366602195566198,3.8552733891467073,0.0005435989838595243,0.0005435989838595243,6.87604938271606e-05,0.0014448393727178755,0.0003032815066128745,3.568017724857347e-05,0.0014922810964824334,0.0005435989838595243,1e-05,2.832,EGM2
1e-05EGM3,15.733333333333345,18.366602195566198,3.8552733891467073,0.0005435989838595243,0.0005435989838595243,6.87604938271606e-05,0.0014448393727178755,0.0003032815066128745,3.568017724857347e-05,5.131574407633913e-05,26.633342351498236,1e-05,2.832,EGM3
1e-05EGM4,15.733333333333345,18.366602195566198,3.8552733891467073,0.0005435989838595243,0.0005435989838595243,0.008768086924761786,0.0014448393727178755,0.0003032815066128745,3.568017724857347e-05,5.131574407633913e-05,0.0005435989838595243,1e-05,2.832,EGM4
1e-05EGM5,15.733333333333343,18.3659570642202,3.8556,0.0005436450364503645,0.0005435625820882492,6.876049382716059e-05,0.0014447886223853234,0.0003033072000000002,3.5683200000000025e-05,5.131230774913075e-05,26.62932943830866,1e-05,2.832,EGM5
1e-05EGM6,15.733333333333345,18.366602195566198,3.8552733891467073,0.0005435989838595243,0.0005435989838595243,6.87604938271606e-05,0.0014448393727178755,0.0014560537885377498,3.568017724857347e-05,5.131574407633913e-05,0.0005435989838595243,1e-05,2.832,EGM6
1e-05EGM7,15.733333333333343,18.366602195566198,3.855273389146707,0.0005435989838595242,0.0005435989838595242,6.876049382716059e-05,0.0025976094857023424,0.0003032815066128745,3.5683200000000025e-05,5.131574407633912e-05,0.0005435989838595242,1e-05,2.832,EGM7
1e-05EGM8,15.733333333333343,18.3659570642202,3.8556,0.0005436450364503645,0.0005435625820882492,6.876049382716059e-05,0.0014447886223853234,0.0003033072000000002,3.5683200000000025e-05,0.0014920605437917355,0.0005435625820882492,1e-05,2.832,EGM8
1e-05EGM9,15.733333333333343,18.3659570642202,3.8556,0.0005436450364503645,0.0005435625820882492,0.008766776160338241,0.0014447886223853234,0.0003033072000000002,3.5683200000000025e-05,5.131230774913075e-05,0.0005435625820882492,1e-05,2.832,EGM9
1e-05EGM10,15.733333333333343,18.366602195566198,3.855273389146707,0.0005435989838595242,0.0005435989838595242,0.008768070556983937,0.0014448393727178753,0.0003032815066128745,3.5683200000000025e-05,5.131574407633912e-05,0.0005435989838595242,1e-05,2.832,EGM10
1e-05EGM11,15.733333333333345,18.3659570642202,3.8556000000000004,0.0005436450364503645,0.0005436450364503645,0.008766729142077278,0.0014447886223853234,0.00030330720000000023,3.5683200000000025e-05,5.132009144091444e-05,0.0005436450364503645,1e-05,2.832,EGM11
1e-05EGM12,15.733333333333343,18.3659570642202,3.8556,0.0005436450364503645,0.0005435625820882492,6.876049382716059e-05,0.0014447886223853234,0.001455905788834084,3.5683200000000025e-05,5.131230774913075e-05,0.0005435625820882492,1e-05,2.832,EGM12
1e-05EGM13,15.733333333333345,18.3659570642202,3.8556000000000004,0.0005436450364503645,0.0005436450364503645,6.87604938271606e-05,0.0014447886223853234,0.0014558995583117081,3.5683200000000025e-05,5.132009144091444e-05,0.0005436450364503645,1e-05,2.832,EGM13
1e-05EGM14,15.733333333333345,18.3659570642202,3.8556000000000004,0.0005436450364503645,0.0005436450364503645,6.87604938271606e-05,0.0014447886223853234,0.00030330720000000023,3.5683200000000025e-05,5.132009144091444e-05,26.629185575379214,1e-05,2.832,EGM14
1e-05EGM15,15.733333333333343,18.366602195566198,3.855273389146707,0.0005435989838595242,0.0005435989838595242,6.876049382716059e-05,0.0014448393727178753,0.0003032815066128745,3.5683200000000025e-05,5.131574407633912e-05,26.63329224190217,1e-05,2.832,EGM15
1e-05EGM16,15.733333333333345,18.366602195566198,3.8552733891467073,0.0005435989838595243,0.0005435989838595243,6.876049382716059e-05,0.0014448393727178753,0.0003032815066128745,3.5683200000000025e-05,0.0014922783853069232,0.0005435989838595243,1e-05,2.832,EGM16
1e-05EGM17,15.733333333333343,18.3659570642202,3.8556,0.0005436450364503645,0.0005435625820882492,6.876049382716059e-05,0.002597387211219407,0.0003033072000000002,3.5683200000000025e-05,5.131230774913075e-05,0.0005435625820882492,1e-05,2.832,EGM17
1e-05EGM18,15.733333333333343,18.366602195566198,3.855273389146707,0.0005435989838595242,0.0005435989838595242,6.876049382716059e-05,0.0014448393727178753,0.0014560516195973416,3.5683200000000025e-05,5.131574407633912e-05,0.0005435989838595242,1e-05,2.832,EGM18
1e-05EGM19,15.733333333333345,18.3659570642202,3.8556000000000004,0.0005436450364503645,0.0005436450364503645,6.87604938271606e-05,0.0025973809806970317,0.00030330720000000023,3.5683200000000025e-05,5.132009144091444e-05,0.0005436450364503645,1e-05,2.832,EGM19
1e-05EGM20,15.733333333333345,18.3659570642202,3.8556,0.0005436450364503645,0.0005436450364503645,6.876049382716059e-05,0.0014447886223853234,0.00030330720000000023,3.5683200000000025e-05,0.001492060539330549,0.0005436450364503645,1e-05,2.832,EGM20
0.005EGM1,15.761111111111122,18.41282496482022,3.855095582139329,0.0005462999769664779,0.0005462999769664779,6.900350651577513e-05,0.0014510329006998612,0.0003038029490702579,3.574152342003034e-05,0.0014809403454835756,0.0005462999769664779,0.005,2.837,EGM1
