,x,mu,vmax
10,0.11,1.504,0.0002
11,0.12,1.502,0.0002
12,0.13,1.499,0.0002
13,0.14,1.496,0.0002
14,0.15000000000000002,1.494,0.0002
15,0.16,1.491,0.0002
16,0.17,1.488,0.0002
17,0.18000000000000002,1.486,0.0002
18,0.19,1.483,0.0002
19,0.2,1.48,0.0002
20,0.21000000000000002,1.478,0.0002
21,0.22,1.475,0.0002
22,0.23,1.473,0.0002
23,0.24000000000000002,1.47,0.0002
24,0.25,1.467,0.0002
25,0.26,1.465,0.0002
26,0.27,1.462,0.0002
27,0.28,1.46,0.0002
28,0.29000000000000004,1.457,0.0002
29,0.3,1.454,0.0002
30,0.31,1.452,0.0002
31,0.32,1.449,0.0002
32,0.33,1.447,0.0002
33,0.34,1.444,0.0002
34,0.35000000000000003,1.441,0.0002
35,0.36000000000000004,1.439,0.0002
36,0.37,1.436,0.0002
37,0.38,1.434,0.0002
38,0.39,1.431,0.0002
39,0.4,1.429,0.0002
40,0.41000000000000003,1.426,0.0002
41,0.42000000000000004,1.424,0.0002
42,0.43,1.421,0.0002
43,0.44,1.419,0.0002
44,0.45,1.416,0.0002
45,0.46,1.413,0.0002
46,0.47000000000000003,1.411,0.0002
47,0.48000000000000004,1.408,0.0002
48,0.49,1.406,0.0002
49,0.5,1.403,0.0002
50,0.51,1.401,0.0002
51,0.52,1.398,0.0002
52,0.53,1.396,0.0002
53,0.54,1.393,0.0002
54,0.55,1.391,0.0002
55,0.56,1.388,0.0002
56,0.5700000000000001,1.386,0.0002
57,0.5800000000000001,1.384,0.0002
58,0.59,1.381,0.0002
59,0.6,1.379,0.0002
60,0.61,1.376,0.0002
61,0.62,1.374,0.0002
62,0.63,1.371,0.0002
63,0.64,1.369,0.0002
64,0.65,1.366,0.0002
65,0.66,1.364,0.0002
66,0.67,1.361,0.0002
67,0.68,1.359,0.0002
68,0.6900000000000001,1.357,0.0002
69,0.7000000000000001,1.354,0.0002
70,0.7100000000000001,1.352,0.0002
71,0.72,1.349,0.0002
72,0.73,1.347,0.0002
73,0.74,1.344,0.0002
74,0.75,1.342,0.0002
75,0.76,1.34,0.0002
76,0.77,1.337,0.0002
77,0.78,1.335,0.0002
78,0.79,1.332,0.0002
79,0.8,1.33,0.0002
80,0.81,1.328,0.0002
81,0.8200000000000001,1.325,0.0002
82,0.8300000000000001,1.323,0.0002
83,0.8400000000000001,1.321,0.0002
84,0.85,1.318,0.0002
85,0.86,1.316,0.0002
86,0.87,1.314,0.0002
87,0.88,1.311,0.0002
88,0.89,1.309,0.0002
89,0.9,1.306,0.0002
90,0.91,1.304,0.0002
91,0.92,1.302,0.0002
92,0.93,1.299,0.0002
93,0.9400000000000001,1.297,0.0002
94,0.9500000000000001,1.295,0.0002
95,0.9600000000000001,1.293,0.0002
96,0.97,1.29,0.0002
97,0.98,1.288,0.0002
98,0.99,1.286,0.0002
0,0.01,0.429,2e-05
1,0.02,0.429,2e-05
2,0.03,0.428,2e-05
3,0.04,0.428,2e-05
4,0.05,0.428,2e-05
5,0.060000000000000005,0.428,2e-05
6,0.06999999999999999,0.427,2e-05
7,0.08,0.427,2e-05
8,0.09,0.427,2e-05
9,0.09999999999999999,0.427,2e-05
10,0.11,0.426,2e-05
11,0.12,0.426,2e-05
12,0.13,0.426,2e-05
13,0.14,0.426,2e-05
14,0.15000000000000002,0.425,2e-05
15,0.16,0.425,2e-05
16,0.17,0.425,2e-05
17,0.18000000000000002,0.425,2e-05
18,0.19,0.425,2e-05
19,0.2,0.424,2e-05
20,0.21000000000000002,0.424,2e-05
21,0.22,0.424,2e-05
22,0.23,0.424,2e-05
23,0.24000000000000002,0.423,2e-05
24,0.25,0.423,2e-05
25,0.26,0.423,2e-05
26,0.27,0.423,2e-05
27,0.28,0.422,2e-05
28,0.29000000000000004,0.422,2e-05
29,0.3,0.422,2e-05
30,0.31,0.422,2e-05
31,0.32,0.421,2e-05
32,0.33,0.421,2e-05
33,0.34,0.421,2e-05
34,0.35000000000000003,0.421,2e-05
35,0.36000000000000004,0.42,2e-05
36,0.37,0.42,2e-05
37,0.38,0.42,2e-05
38,0.39,0.42,2e-05
39,0.4,0.42,2e-05
40,0.41000000000000003,0.419,2e-05
41,0.42000000000000004,0.419,2e-05
42,0.43,0.419,2e-05
43,0.44,0.419,2e-05
44,0.45,0.418,2e-05
45,0.46,0.418,2e-05
46,0.47000000000000003,0.418,2e-05
47,0.48000000000000004,0.418,2e-05
48,0.49,0.417,2e-05
49,0.5,0.417,2e-05
50,0.51,0.417,2e-05
51,0.52,0.417,2e-05
52,0.53,0.416,2e-05
53,0.54,0.416,2e-05
54,0.55,0.416,2e-05
55,0.56,0.416,2e-05
56,0.5700000000000001,0.415,2e-05
57,0.5800000000000001,0.415,2e-05
58,0.59,0.415,2e-05
59,0.6,0.415,2e-05
60,0.61,0.415,2e-05
61,0.62,0.414,2e-05
62,0.63,0.414,2e-05
63,0.64,0.414,2e-05
64,0.65,0.414,2e-05
65,0.66,0.413,2e-05
66,0.67,0.413,2e-05
67,0.68,0.413,2e-05
68,0.6900000000000001,0.413,2e-05
69,0.7000000000000001,0.412,2e-05
70,0.7100000000000001,0.412,2e-05
71,0.72,0.412,2e-05
72,0.73,0.412,2e-05
73,0.74,0.411,2e-05
74,0.75,0.411,2e-05
75,0.76,0.411,2e-05
76,0.77,0.411,2e-05
77,0.78,0.411,2e-05
78,0.79,0.41,2e-05
79,0.8,0.41,2e-05
80,0.81,0.41,2e-05
