,wIG,wEAA,wENT,wRNAP,wAF,wrP,x
1e-05EGM1,0.002812259804739044,0.44038016464860186,0.09642183131526852,0.054263821569159855,0.406113582119081,8.340543148961932e-06,1e-05
1e-05EGM2,0.002812259804739044,0.8334419571629519,0.09642183131526852,0.054263821569159855,0.013051789604730791,8.340543148961932e-06,1e-05
1e-05EGM3,0.002812259804739044,0.44038016464860186,0.4894836238296188,0.054263821569159855,0.013051789604730791,8.340543148961932e-06,1e-05
1e-05EGM4,0.002812259804739044,0.44038016464860186,0.09642183131526852,0.054263821569159855,0.013051789604730791,0.39307013305749916,1e-05
1e-05EGM5,0.3958740523190893,0.44038016464860186,0.09642183131526852,0.054263821569159855,0.013051789604730791,8.340543148961932e-06,1e-05
1e-05EGM6,0.002812259804739044,0.4403801646486019,0.09642183131526853,0.0542648044541983,0.40611259923404264,8.34054314896193e-06,1e-05
1e-05EGM7,0.0028122598047390433,0.4403801646486018,0.09642183131526852,0.05426480445419828,0.013051789604730791,0.3930691501724608,1e-05
1e-05EGM8,0.00281220886696982,0.440368738482429,0.09642183131526853,0.054263821569159855,0.013051789604730793,0.39304839053840696,1e-05
1e-05EGM9,0.39586584322891233,0.4403833678518996,0.09642503451856631,0.05426562425274126,0.01305178960473079,8.34054314896193e-06,1e-05
1e-05EGM10,0.3958522588622279,0.440368738482429,0.09642183131526853,0.054263821569159855,0.013051789604730793,8.340543148961932e-06,1e-05
1e-05EGM11,0.39587306943405093,0.4403801646486018,0.09642183131526852,0.05426480445419828,0.013051789604730791,8.340543148961932e-06,1e-05
1e-05EGM12,0.00281220886696982,0.8334087884776871,0.09642183131526853,0.054263821569159855,0.013051789604730793,8.340543148961932e-06,1e-05
1e-05EGM13,0.0028122598047390433,0.4403801646486018,0.48948264094458027,0.05426480445419828,0.013051789604730791,8.340543148961932e-06,1e-05
1e-05EGM14,0.0028122598047390433,0.8334409742779137,0.09642183131526852,0.05426480445419828,0.013051789604730791,8.340543148961932e-06,1e-05
1e-05EGM15,0.00281220886696982,0.440368738482429,0.4894618813105264,0.054263821569159855,0.013051789604730793,8.340543148961932e-06,1e-05
1e-05EGM16,0.0028123022905917716,0.4403833678518996,0.09642503451856631,0.05426562425274126,0.01305178960473079,0.3930618814814695,1e-05
1e-05EGM17,0.0028123022905917716,0.8334369087902204,0.09642503451856631,0.05426562425274126,0.01305178960473079,8.34054314896193e-06,1e-05
1e-05EGM18,0.0028123022905917716,0.4403833678518996,0.09642503451856631,0.05426562425274126,0.4061053305430513,8.34054314896193e-06,1e-05
1e-05EGM19,0.0028123022905917716,0.4403833678518996,0.48947857545688694,0.05426562425274126,0.01305178960473079,8.34054314896193e-06,1e-05
1e-05EGM20,0.00281220886696982,0.440368738482429,0.09642183131526853,0.054263821569159855,0.4060918395999888,8.34054314896193e-06,1e-05
0.005EGM1,0.002812303870925601,0.4407430948738835,0.09624309487388344,0.05416323312118159,0.4018614343288341,0.004176838931291171,0.005
0.005EGM2,0.0028114163620006965,0.4405440122558125,0.4846336807711616,0.05416323312118158,0.013092929971988803,0.004176838931291171,0.005
