,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
0.035EGM7,17.072222222221566,24.145360217241024,2.0490280367887124,0.0002993916613338948,0.0002993916613338948,9.021644778228898e-05,0.002061074776321634,0.00017490730991809645,0.00020577330578599583,3.066768584263411e-05,0.0002993916613338948,0.035,3.073,EGM7
0.035EGM8,17.072222222221566,24.145360217241024,2.0490280367887124,0.0002993916613338948,0.0002993916613338948,8.096132544580998e-05,0.002062301198686632,0.00017490730991809645,0.00020577330578599583,3.066768584263411e-05,0.0002993916613338948,0.035,3.073,EGM8
0.04EGM1,17.08888888888823,24.180977468532934,2.044930125080313,0.00030034911212117096,0.00030034911212117096,8.111947873799099e-05,0.002066130185922345,0.0001747279184651889,0.00020556225701786932,3.0795795629489544e-05,0.00030034911212117096,0.04,3.076,EGM1
0.04EGM2,17.08888888888823,24.182312350289312,2.0442543140657046,0.00030024985237840033,0.00030024985237840033,8.1119478737991e-05,0.002066244244152418,0.00017578282127921687,0.00020549432255117205,3.078561819719746e-05,0.00030024985237840033,0.04,3.076,EGM2
0.04EGM3,17.08888888888823,24.182312350289312,2.0442543140657046,0.00030024985237840033,0.00030024985237840033,8.1119478737991e-05,0.002066244244152418,0.00017467017416849623,0.0002055976988550555,3.078561819719746e-05,0.00030024985237840033,0.04,3.076,EGM3
0.04EGM4,17.08888888888823,24.180937576711482,2.044950321125545,0.00030035207841531443,0.00030022176718774127,8.111947873799099e-05,0.0020661267773878235,0.00017472964410505373,0.00020556428718241615,3.078273852898188e-05,0.00030022176718774127,0.04,3.076,EGM4
0.04EGM5,17.08888888888823,24.182312350289312,2.0442543140657046,0.00030024985237840033,0.00030024985237840033,8.1119478737991e-05,0.0020662442441524184,0.00017467017416849626,0.00020549432255117205,3.2176427085598235e-05,0.00030024985237840033,0.04,3.076,EGM5
0.04EGM6,17.088888888888228,24.182312350289312,2.0442543140657046,0.00030024985237840033,0.00030024985237840033,8.1119478737991e-05,0.002066244244152418,0.00017467017416849623,0.00020549432255117207,3.0785618197197464e-05,0.00030667629649208693,0.04,3.076,EGM6
0.04EGM7,17.08888888888823,24.182312350289312,2.0442543140657046,0.00030024985237840033,0.00030024985237840033,8.951600298685015e-05,0.002066244244152418,0.00017467017416849623,0.00020549432255117205,3.078561819719746e-05,0.00030024985237840033,0.04,3.076,EGM7
0.04EGM8,17.08888888888823,24.182312350289312,2.0442543140657046,0.00030024985237840033,0.00030024985237840033,8.1119478737991e-05,0.002067356891263139,0.00017467017416849623,0.00020549432255117205,3.078561819719746e-05,0.00030024985237840033,0.04,3.076,EGM8
0.045EGM1,17.105555555554897,24.218111255001357,2.0400644366220773,0.0003012032309567674,0.0003012032309567674,8.12777863511597e-05,0.002071321237615175,0.0001744821777877537,0.0002052731503385338,3.09134916038617e-05,0.0003012032309567674,0.045,3.079,EGM1
0.045EGM2,17.105555555554897,24.219347284942145,2.039438671347826,0.00030111084048172084,0.00030111084048172084,8.12777863511597e-05,0.0020714269525092775,0.0001754616490227524,0.0002052101852640429,3.090400926143942e-05,0.00030111084048172084,0.045,3.079,EGM2
0.045EGM3,17.105555555554897,24.219347284942145,2.039438671347826,0.00030111084048172084,0.00030111084048172084,8.12777863511597e-05,0.0020714269525092775,0.00017442865747443646,0.00020530616075095046,3.090400926143942e-05,0.00030111084048172084,0.045,3.079,EGM3
0.045EGM4,17.105555555554893,24.21807100190412,2.0400848155705154,0.0003012062397858038,0.0003010847419211575,8.12777863511597e-05,0.002071317794857219,0.00017448392075392706,0.00020527520088697303,3.090133067917361e-05,0.0003010847419211575,0.045,3.079,EGM4
0.045EGM5,17.105555555554893,24.21934728494215,2.0394386713478254,0.00030111084048172084,0.00030111084048172084,8.12777863511597e-05,0.0020714269525092775,0.00017442865747443643,0.0002052101852640429,3.219524869683435e-05,0.00030111084048172084,0.045,3.079,EGM5
0.045EGM6,17.105555555554893,24.219347284942145,2.039438671347826,0.00030111084048172084,0.00030111084048172084,8.12777863511597e-05,0.0020714269525092775,0.00017442865747443643,0.0002052101852640429,3.090400926143942e-05,0.0003064142789743429,0.045,3.079,EGM6
0.045EGM7,17.105555555554897,24.219347284942145,2.039438671347826,0.00030111084048172084,0.00030111084048172084,8.907319470725912e-05,0.0020714269525092775,0.00017442865747443646,0.0002052101852640429,3.090400926143942e-05,0.00030111084048172084,0.045,3.079,EGM7
0.045EGM8,17.105555555554897,24.219347284942145,2.039438671347826,0.00030111084048172084,0.00030111084048172084,8.12777863511597e-05,0.0020724599440575934,0.00017442865747443646,0.0002052101852640429,3.090400926143942e-05,0.00030111084048172084,0.045,3.079,EGM8
0.05EGM1,17.122222222221563,24.25528671473787,2.0351776502250485,0.00030206320913866503,0.00030206320913866503,8.143624828531606e-05,0.002076522045967201,0.0001742338199442599,0.00020498096464030574,3.103196035217765e-05,0.00030206320913866503,0.05,3.082,EGM1
0.05EGM2,17.122222222221563,24.256465431353543,2.0345809009862728,0.0003019746389884889,0.0003019746389884889,8.143624828531606e-05,0.002076622957206354,0.00017517045797391112,0.00020492086068102776,3.102286124541623e-05,0.0003019746389884889,0.05,3.082,EGM2
0.05EGM3,17.122222222221563,24.256465431353543,2.0345809009862728,0.0003019746389884889,0.0003019746389884889,8.143624828531606e-05,0.002076622957206354,0.00017418273157887362,0.0002050126305719332,3.102286124541623e-05,0.0003019746389884889,0.05,3.082,EGM3
0.05EGM4,17.122222222221563,24.255245139108098,2.0351986987324584,0.0003020663331802912,0.00030194966106364667,8.143624828531608e-05,0.0020765184866313405,0.00017423562193036654,0.00020498308462396062,3.1020295179937436e-05,0.00030194966106364667,0.05,3.082,EGM4
0.05EGM5,17.122222222221563,24.256465431353547,2.0345809009862728,0.0003019746389884889,0.0003019746389884889,8.143624828531608e-05,0.002076622957206354,0.00017418273157887362,0.0002049208606810278,3.22575192392131e-05,0.0003019746389884889,0.05,3.082,EGM5
0.05EGM6,17.122222222221563,24.256465431353543,2.0345809009862728,0.00030197463898848885,0.00030197463898848885,8.143624828531606e-05,0.002076622957206354,0.00017418273157887362,0.0002049208606810278,3.102286124541623e-05,0.0003065385791029502,0.05,3.082,EGM6
0.05EGM7,17.122222222221563,24.256465431353543,2.0345809009862728,0.0003019746389884889,0.0003019746389884889,8.889006589492569e-05,0.002076622957206354,0.00017418273157887362,0.00020492086068102776,3.102286124541623e-05,0.0003019746389884889,0.05,3.082,EGM7
0.05EGM8,17.122222222221563,24.256465431353543,2.0345809009862728,0.0003019746389884889,0.0003019746389884889,8.143624828531606e-05,0.0020776106836013913,0.00017418273157887362,0.00020492086068102776,3.102286124541623e-05,0.0003019746389884889,0.05,3.082,EGM8
0.055EGM1,17.13888888888823,24.292504264273525,2.0302695550119214,0.00030292910820812796,0.00030292910820812796,8.159486454046009e-05,0.0020817326570911365,0.0001739828215892093,0.00020468567245789332,3.115120996073462e-05,0.00030292910820812796,0.055,3.085,EGM1
0.055EGM2,17.138888888888225,24.293667202278204,2.0296807940155883,0.00030284126132931,0.00030284126132931,8.159486454046009e-05,0.0020818323144173715,0.00017490949215500092,0.0002046263153443741,3.1142176373362835e-05,0.00030284126132931,0.055,3.085,EGM2
0.055EGM3,17.138888888888225,24.293667202278204,2.0296807940155883,0.00030284126132931,0.00030284126132931,8.159486454046009e-05,0.0020818323144173715,0.00017393236804271798,0.00020471710017470342,3.1142176373362835e-05,0.00030284126132931,0.055,3.085,EGM3
0.055EGM4,17.13888888888823,24.292460071423942,2.030291928540042,0.00030293244648057767,0.00030281652875129706,8.159486454046009e-05,0.0020817288700094435,0.00017398473887627185,0.0002046879280897316,3.113963303992384e-05,0.00030281652875129706,0.055,3.085,EGM4
0.055EGM5,17.138888888888225,24.293667202278204,2.0296807940155883,0.00030284126132930995,0.00030284126132930995,8.159486454046009e-05,0.002081832314417371,0.00017393236804271798,0.0002046263153443741,3.236358151371651e-05,0.00030284126132930995,0.055,3.085,EGM5
0.055EGM6,17.138888888888225,24.293667202278208,2.0296807940155883,0.00030284126132930995,0.00030284126132930995,8.159486454046009e-05,0.002081832314417371,0.000173932368042718,0.0002046263153443741,3.114217637336284e-05,0.0003069457619234945,0.055,3.085,EGM6
0.055EGM7,17.138888888888225,24.293667202278204,2.0296807940155883,0.00030284126132931,0.00030284126132931,8.896867266333827e-05,0.0020818323144173715,0.00017393236804271798,0.0002046263153443741,3.1142176373362835e-05,0.00030284126132931,0.055,3.085,EGM7
0.055EGM8,17.138888888888225,24.293667202278204,2.0296807940155883,0.00030284126132931,0.00030284126132931,8.159486454046009e-05,0.002082809438529654,0.00017393236804271798,0.0002046263153443741,3.1142176373362835e-05,0.00030284126132931,0.055,3.085,EGM8
0.06EGM1,17.155555555554887,24.329764326042717,2.0253399371166907,0.0003038009905675036,0.0003038009905675036,8.175363511659171e-05,0.002086953117744916,0.00017372915905044715,0.00020438724594170252,3.1271248629080485e-05,0.0003038009905675036,0.06,3.088,EGM1
0.06EGM2,17.155555555554887,24.330953013092547,2.0247381401430187,0.0003037107210214528,0.0003037107210214528,8.175363511659173e-05,0.002087055080678524,0.00017467899716297158,0.00020432651558043784,3.126195688380699e-05,0.0003037107210214528,0.06,3.088,EGM2
0.06EGM3,17.155555555554887,24.330953013092547,2.0247381401430187,0.0003037107210214528,0.0003037107210214528,8.175363511659173e-05,0.002087055080678524,0.00017367753824337217,0.0002044195613634195,3.126195688380699e-05,0.0003037107210214528,0.06,3.088,EGM3
0.06EGM4,17.15555555555489,24.329715882196457,2.025364462798261,0.00030380466941973917,0.00030368534913182967,8.175363511659173e-05,0.0020869489623394372,0.00017373126280891075,0.00020438972095165972,3.125934527063512e-05,0.00030368534913182967,0.06,3.088,EGM4
0.06EGM5,17.15555555555489,24.33095301309255,2.0247381401430187,0.0003037107210214528,0.0003037107210214528,8.175363511659173e-05,0.002087055080678524,0.0001736775382433722,0.00020432651558043786,3.251378053330625e-05,0.0003037107210214528,0.06,3.088,EGM5
0.06EGM6,17.15555555555489,24.330953013092547,2.0247381401430187,0.0003037107210214528,0.0003037107210214528,8.175363511659173e-05,0.002087055080678524,0.00017367753824337217,0.00020432651558043784,3.126195688380699e-05,0.00030756688213306245,0.06,3.088,EGM6
0.06EGM7,17.155555555554887,24.330953013092547,2.0247381401430187,0.0003037107210214528,0.0003037107210214528,8.931108439375442e-05,0.002087055080678524,0.00017367753824337217,0.00020432651558043784,3.126195688380699e-05,0.0003037107210214528,0.06,3.088,EGM7
0.06EGM8,17.155555555554887,24.330953013092547,2.0247381401430187,0.0003037107210214528,0.0003037107210214528,8.175363511659173e-05,0.0020880565395981236,0.00017367753824337217,0.00020432651558043784,3.126195688380699e-05,0.0003037107210214528,0.06,3.088,EGM8
0.065EGM1,17.172222222221556,24.367067328486655,2.0203885796323013,0.0003046789194953524,0.0003046789194953524,8.191256001371107e-05,0.0020921834753430367,0.00017347280832342223,0.00020408565685108495,3.1392084672003255e-05,0.0003046789194953524,0.065,3.091,EGM1
0.065EGM2,17.172222222221556,24.36832328181595,2.019752727737768,0.00030458303166954576,0.00030458303166954576,8.191256001371106e-05,0.002092291312891394,0.00017447922018207256,0.00020402142749794764,3.1382205029684317e-05,0.00030458303166954576,0.065,3.091,EGM2
0.065EGM3,17.172222222221556,24.36832328181595,2.019752727737768,0.00030458303166954576,0.00030458303166954576,8.191256001371106e-05,0.002092291312891394,0.0001734182133732555,0.0002041200058892757,3.1382205029684317e-05,0.00030458303166954576,0.065,3.091,EGM3
0.065EGM4,17.172222222221556,24.36701265501558,2.0204162591880253,0.00030468309363156315,0.0003045561263646397,8.191256001371106e-05,0.002092178781018062,0.0001734751849208318,0.00020408845284803736,3.13794328864355e-05,0.0003045561263646397,0.065,3.091,EGM4
