,wIG,wEAA,wENT,wRNAP,wAF,wrP,prot_fraction,name
0.025EGM6,0.0026947419670414513,0.8756261873100316,0.0843755936550154,0.007122674548542837,0.011713928571428596,0.01846687394794032,0.025,RBA_standard
0.025EGM7,0.002949514560678564,0.8756261873100315,0.08437559365501539,0.007122674548542835,0.011713928571428594,0.018212101354303206,0.025,RBA_standard
0.025EGM8,0.002694741967041451,0.8758809599036685,0.08437559365501539,0.007122674548542835,0.011713928571428594,0.018212101354303206,0.025,RBA_standard
0.03EGM1,0.002679618532392835,0.8718200007592769,0.08362158606834855,0.007059024025751631,0.011669090608465627,0.02181265472549878,0.03,RBA_standard
0.03EGM2,0.0026817227156059734,0.8727640054700309,0.084013502454647,0.007059024025751631,0.011669090608465627,0.021812654725498776,0.03,RBA_standard
0.03EGM3,0.0026817227156059734,0.8727640054700309,0.08362158606834853,0.0074509404120500925,0.011669090608465627,0.021812654725498776,0.03,RBA_standard
0.03EGM4,0.0026834008113228564,0.873017044135336,0.08374810540100099,0.007069704318375902,0.011669090608465629,0.021812654725498776,0.03,RBA_standard
0.03EGM5,0.002681722715605974,0.872764005470031,0.08362158606834855,0.007059024025751633,0.01206100699476409,0.02181265472549878,0.03,RBA_standard
0.03EGM6,0.0026817227156059734,0.8727640054700309,0.08362158606834855,0.007059024025751631,0.011669090608465623,0.022204571111797234,0.03,RBA_standard
0.03EGM7,0.003073639101904434,0.8727640054700309,0.08362158606834853,0.007059024025751631,0.011669090608465627,0.021812654725498776,0.03,RBA_standard
0.03EGM8,0.0026817227156059734,0.8731559218563293,0.08362158606834853,0.007059024025751631,0.011669090608465627,0.021812654725498776,0.03,RBA_standard
0.035EGM1,0.0026699746271373706,0.8702047216048692,0.08293526350367288,0.007001087221377925,0.011633282142857164,0.025409021406727853,0.035,RBA_standard
0.035EGM2,0.002670204894519771,0.8703080270073464,0.08297837732717103,0.007001087221377926,0.011633282142857164,0.025409021406727857,0.035,RBA_standard
0.035EGM3,0.002670204894519771,0.8703080270073463,0.08293526350367288,0.007044201044876067,0.01163328214285716,0.025409021406727853,0.035,RBA_standard
0.035EGM4,0.0026703894979838772,0.8703358632110254,0.0829491816055124,0.0070022621358933924,0.011633282142857162,0.025409021406727857,0.035,RBA_standard
0.035EGM5,0.0026702048945197706,0.8703080270073463,0.08293526350367288,0.007001087221377925,0.011676395966355302,0.025409021406727853,0.035,RBA_standard
0.035EGM6,0.002670204894519771,0.8703080270073464,0.08293526350367289,0.007001087221377926,0.011633282142857164,0.025452135230225995,0.035,RBA_standard
0.035EGM7,0.002713318718017914,0.8703080270073464,0.08293526350367289,0.007001087221377926,0.011633282142857164,0.025409021406727857,0.035,RBA_standard
0.035EGM8,0.002670204894519771,0.8703511408308447,0.08293526350367289,0.007001087221377926,0.011633282142857164,0.025409021406727857,0.035,RBA_standard
0.04EGM1,0.0026563087503974976,0.8670232525416821,0.08218864497729761,0.006938060455640111,0.011588598941798962,0.02898305907480222,0.04,RBA_standard
0.04EGM2,0.002657283648267907,0.8674606232879292,0.08237237459156162,0.006938060455640111,0.011588598941798964,0.028983059074802222,0.04,RBA_standard
0.04EGM3,0.002657283648267907,0.8674606232879292,0.08218864497729762,0.00712179006990411,0.011588598941798964,0.028983059074802222,0.04,RBA_standard
0.04EGM4,0.0026580703361675194,0.8675792473056934,0.0822479569861797,0.006943067355358229,0.011588598941798962,0.02898305907480222,0.04,RBA_standard
0.04EGM5,0.002657283648267907,0.8674606232879292,0.08218864497729761,0.006938060455640111,0.01177232855606296,0.028983059074802222,0.04,RBA_standard
0.04EGM6,0.0026572836482679075,0.8674606232879293,0.08218864497729762,0.006938060455640112,0.011588598941798964,0.029166788689066223,0.04,RBA_standard
0.04EGM7,0.002841013262531905,0.8674606232879292,0.08218864497729761,0.006938060455640111,0.011588598941798964,0.028983059074802222,0.04,RBA_standard
0.04EGM8,0.002657283648267907,0.8676443529021933,0.08218864497729761,0.006938060455640111,0.011588598941798964,0.028983059074802222,0.04,RBA_standard
0.045EGM1,0.002642695072004252,0.863849764269697,0.08144593411787668,0.006875363560647545,0.011544001719576738,0.0325431411096549,0.045,RBA_standard
0.045EGM2,0.00264441423155894,0.8646210349024205,0.08177204447614125,0.006875363560647544,0.01154400171957674,0.032543141109654894,0.045,RBA_standard
0.045EGM3,0.00264441423155894,0.8646210349024205,0.08144593411787668,0.007201473918912117,0.01154400171957674,0.032543141109654894,0.045,RBA_standard
0.045EGM4,0.002645810561017383,0.864831586266646,0.0815512097999893,0.006884250543115839,0.011544001719576744,0.0325431411096549,0.045,RBA_standard
0.045EGM5,0.0026444142315589407,0.8646210349024207,0.08144593411787669,0.006875363560647545,0.011870112077841315,0.0325431411096549,0.045,RBA_standard
0.045EGM6,0.00264441423155894,0.8646210349024205,0.08144593411787668,0.006875363560647544,0.01154400171957674,0.032869251467919476,0.045,RBA_standard
0.045EGM7,0.0029705245898235147,0.8646210349024205,0.08144593411787668,0.006875363560647544,0.01154400171957674,0.032543141109654894,0.045,RBA_standard
0.045EGM8,0.00264441423155894,0.8649471452606852,0.08144593411787668,0.006875363560647544,0.01154400171957674,0.032543141109654894,0.045,RBA_standard
0.05EGM1,0.0026291333595850537,0.8606841901782178,0.0807071213976136,0.006812995732099001,0.011499490476190501,0.036089267511285904,0.05,RBA_standard
0.05EGM2,0.002631596518020449,0.8617892427952277,0.0811774069671763,0.006812995732099,0.011499490476190498,0.036089267511285904,0.05,RBA_standard
0.05EGM3,0.002631596518020449,0.8617892427952277,0.08070712139761357,0.007283281301661708,0.011499490476190498,0.036089267511285904,0.05,RBA_standard
0.05EGM4,0.0026336101725334643,0.8620928800938826,0.08085894004694105,0.00682581169916621,0.011499490476190498,0.03608926751128589,0.05,RBA_standard
0.05EGM5,0.002631596518020449,0.861789242795228,0.08070712139761357,0.006812995732099,0.01196977604575321,0.036089267511285904,0.05,RBA_standard
0.05EGM6,0.002631596518020449,0.861789242795228,0.0807071213976136,0.006812995732099,0.011499490476190498,0.0365595530808486,0.05,RBA_standard
0.05EGM7,0.003101882087583158,0.8617892427952277,0.08070712139761357,0.006812995732099,0.011499490476190498,0.036089267511285904,0.05,RBA_standard
0.05EGM8,0.002631596518020449,0.8622595283647906,0.08070712139761357,0.006812995732099,0.011499490476190498,0.036089267511285904,0.05,RBA_standard
0.055EGM1,0.00261958600363236,0.8590593674772684,0.08003417922576846,0.0067561884508413415,0.011463943386243404,0.03963678947623905,0.055,RBA_standard
0.055EGM2,0.0026202561684670815,0.859360025118204,0.08016279740000502,0.006756188450841341,0.011463943386243406,0.03963678947623906,0.055,RBA_standard
0.055EGM3,0.0026202561684670815,0.859360025118204,0.08003417922576846,0.006884806625077898,0.011463943386243403,0.03963678947623906,0.055,RBA_standard
0.055EGM4,0.0026208068818713817,0.8594430667369793,0.08007570003515607,0.006759693483510731,0.011463943386243404,0.039636789476239054,0.055,RBA_standard
0.055EGM5,0.0026202561684670815,0.8593600251182041,0.08003417922576846,0.006756188450841341,0.011592561560479964,0.03963678947623906,0.055,RBA_standard
0.055EGM6,0.0026202561684670815,0.859360025118204,0.08003417922576846,0.006756188450841341,0.011463943386243403,0.0397654076504756,0.055,RBA_standard
0.055EGM7,0.0027488743427036386,0.859360025118204,0.08003417922576846,0.006756188450841341,0.011463943386243406,0.03963678947623906,0.055,RBA_standard
0.055EGM8,0.0026202561684670815,0.8594886432924407,0.08003417922576846,0.006756188450841341,0.011463943386243406,0.03963678947623906,0.055,RBA_standard
0.06EGM1,0.0026061042420688326,0.85590074325422,0.07930268683862447,0.0066944385776532955,0.011419586904761924,0.04315640017474883,0.06,RBA_standard
0.06EGM2,0.0026075355485457932,0.8565428736772494,0.07957916511704066,0.0066944385776532955,0.011419586904761922,0.04315640017474884,0.06,RBA_standard
0.06EGM3,0.0026075355485457932,0.8565428736772494,0.07930268683862447,0.006970916856069489,0.011419586904761922,0.04315640017474884,0.06,RBA_standard
0.06EGM4,0.0026087193648674403,0.8567213803613332,0.07939194018066634,0.006701973013622223,0.011419586904761922,0.04315640017474883,0.06,RBA_standard
0.06EGM5,0.0026075355485457932,0.8565428736772494,0.07930268683862447,0.0066944385776532955,0.011696065183178119,0.04315640017474884,0.06,RBA_standard
0.06EGM6,0.0026075355485457932,0.8565428736772497,0.07930268683862447,0.0066944385776532955,0.011419586904761922,0.043432878453165034,0.06,RBA_standard
0.06EGM7,0.0028840138269619884,0.8565428736772494,0.07930268683862447,0.0066944385776532955,0.011419586904761922,0.04315640017474884,0.06,RBA_standard
0.06EGM8,0.0026075355485457932,0.8568193519556656,0.07930268683862447,0.0066944385776532955,0.011419586904761922,0.04315640017474884,0.06,RBA_standard
0.065EGM1,0.0025926739573213114,0.85274992165849,0.07857506527762156,0.006633015465245738,0.011375316402116422,0.04666205524003693,0.065,RBA_standard
0.065EGM2,0.002594866269527369,0.853733463888577,0.07900128273449643,0.006633015465245738,0.011375316402116423,0.04666205524003693,0.065,RBA_standard
0.065EGM3,0.002594866269527369,0.853733463888577,0.07857506527762156,0.007059232922120596,0.011375316402116423,0.04666205524003693,0.065,RBA_standard
0.065EGM4,0.0025966912345297194,0.8540086488519717,0.07871265775931882,0.00664463051202648,0.011375316402116422,0.04666205524003693,0.065,RBA_standard
0.065EGM5,0.002594866269527369,0.853733463888577,0.07857506527762156,0.006633015465245737,0.01180153385899128,0.04666205524003693,0.065,RBA_standard
0.065EGM6,0.002594866269527369,0.853733463888577,0.07857506527762156,0.006633015465245738,0.011375316402116422,0.0470882726969118,0.065,RBA_standard
0.065EGM7,0.0030210837264022282,0.853733463888577,0.07857506527762156,0.006633015465245738,0.011375316402116423,0.04666205524003693,0.065,RBA_standard
0.065EGM8,0.002594866269527369,0.854159681345452,0.07857506527762156,0.006633015465245738,0.011375316402116423,0.04666205524003693,0.065,RBA_standard
0.07EGM1,0.0025831953258356,0.851117022116886,0.07791197230665331,0.006577039616981557,0.011339961904761928,0.05017329255861371,0.07,RBA_standard
0.07EGM2,0.0025836565553595957,0.8513239446133074,0.07800210475097592,0.006577039616981558,0.011339961904761926,0.050173292558613705,0.07,RBA_standard
0.07EGM3,0.0025836565553595957,0.8513239446133074,0.07791197230665331,0.006667172061304171,0.011339961904761926,0.050173292558613705,0.07,RBA_standard
0.07EGM4,0.002584042481730776,0.8513821381316429,0.07794106906582107,0.006579495857429674,0.011339961904761928,0.050173292558613705,0.07,RBA_standard
0.07EGM5,0.002583656555359596,0.8513239446133072,0.07791197230665331,0.006577039616981556,0.011430094349084537,0.05017329255861371,0.07,RBA_standard
0.07EGM6,0.002583656555359596,0.8513239446133073,0.07791197230665331,0.006577039616981557,0.011339961904761926,0.05026342500293632,0.07,RBA_standard
0.07EGM7,0.0026737889996822106,0.8513239446133074,0.07791197230665332,0.006577039616981558,0.011339961904761926,0.050173292558613705,0.07,RBA_standard
0.07EGM8,0.0025836565553595957,0.8514140770576301,0.07791197230665332,0.006577039616981558,0.011339961904761926,0.050173292558613705,0.07,RBA_standard
0.075EGM1,0.0025698445287430332,0.8479731438268279,0.07719162013681737,0.006516230159603911,0.011295846164021186,0.053652431920780584,0.075,RBA_standard
0.075EGM2,0.002571083694287156,0.8485290736069688,0.07743533445433841,0.006516230159603913,0.011295846164021187,0.05365243192078059,0.075,RBA_standard
0.075EGM3,0.002571083694287156,0.8485290736069688,0.07719162013681737,0.006759944477124963,0.011295846164021187,0.05365243192078059,0.075,RBA_standard
0.075EGM4,0.00257212722287303,0.8486864264193981,0.07727029654303204,0.006522871729895048,0.011295846164021186,0.05365243192078059,0.075,RBA_standard
0.075EGM5,0.0025710836942871565,0.8485290736069688,0.07719162013681737,0.006516230159603913,0.011539560481542241,0.05365243192078059,0.075,RBA_standard
0.075EGM6,0.002571083694287156,0.8485290736069687,0.07719162013681735,0.006516230159603911,0.011295846164021186,0.05389614623830164,0.075,RBA_standard
0.075EGM7,0.002814798011808208,0.8485290736069688,0.07719162013681737,0.006516230159603913,0.011295846164021187,0.05365243192078059,0.075,RBA_standard
0.075EGM8,0.002571083694287156,0.8487727879244901,0.07719162013681737,0.006516230159603913,0.011295846164021187,0.05365243192078059,0.075,RBA_standard
0.08EGM1,0.0025565447311698877,0.844836961932333,0.07647511148010569,0.0064557451573432215,0.011251816402116421,0.05711761564972579,0.08,RBA_standard
0.08EGM2,0.002558561811849968,0.8457418896268787,0.07687437135208604,0.0064557451573432215,0.01125181640211642,0.05711761564972578,0.08,RBA_standard
0.08EGM3,0.002558561811849968,0.8457418896268787,0.0764751114801057,0.006855005029323557,0.01125181640211642,0.05711761564972578,0.08,RBA_standard
0.08EGM4,0.0025602713506815053,0.8459996695734379,0.07660400145338529,0.006466625570653194,0.01125181640211642,0.05711761564972579,0.08,RBA_standard
0.08EGM5,0.002558561811849968,0.8457418896268786,0.0764751114801057,0.0064557451573432215,0.011651076274096756,0.05711761564972578,0.08,RBA_standard
0.08EGM6,0.0025585618118499675,0.8457418896268786,0.0764751114801057,0.006455745157343221,0.01125181640211642,0.05751687552170614,0.08,RBA_standard
0.08EGM7,0.0029578216838303056,0.8457418896268787,0.0764751114801057,0.0064557451573432215,0.01125181640211642,0.05711761564972578,0.08,RBA_standard
0.08EGM8,0.002558561811849968,0.8461411494988589,0.0764751114801057,0.0064557451573432215,0.01125181640211642,0.05711761564972578,0.08,RBA_standard
0.085EGM1,0.002547135190162844,0.8431964167419227,0.0758218001261775,0.006400595036895779,0.01121665449735452,0.06059256832192617,0.085,RBA_standard
0.085EGM2,0.002547481836666072,0.843351933585689,0.0758907667214685,0.006400595036895782,0.01121665449735452,0.06059256832192618,0.085,RBA_standard
0.085EGM3,0.0025474818366660714,0.8433519335856889,0.07582180012617751,0.006469561632186771,0.011216654497354518,0.06059256832192618,0.085,RBA_standard
0.085EGM4,0.0025477771357457013,0.8433964614896837,0.07584406407817486,0.006402474477115068,0.01121665449735452,0.0605925683219262,0.085,RBA_standard
0.085EGM5,0.0025474818366660714,0.843351933585689,0.07582180012617751,0.00640059503689578,0.01128562109264551,0.06059256832192618,0.085,RBA_standard
0.085EGM6,0.002547481836666072,0.843351933585689,0.07582180012617751,0.006400595036895782,0.01121665449735452,0.06066153491721719,0.085,RBA_standard
0.085EGM7,0.002616448431957064,0.843351933585689,0.07582180012617752,0.006400595036895782,0.01121665449735452,0.06059256832192618,0.085,RBA_standard
0.085EGM8,0.002547481836666072,0.8434209001809801,0.07582180012617752,0.006400595036895782,0.01121665449735452,0.06059256832192618,0.085,RBA_standard
0.09EGM1,0.0025339144223978536,0.8400671739922826,0.07511250991868063,0.006340719389334416,0.011172779497354516,0.06403123634775015,0.09,RBA_standard
0.09EGM2,0.0025350556965036486,0.8405791865040286,0.07534102256502868,0.006340719389334418,0.011172779497354518,0.06403123634775017,0.09,RBA_standard
0.09EGM3,0.0025350556965036486,0.8405791865040286,0.07511250991868065,0.006569232035682445,0.011172779497354518,0.06403123634775017,0.09,RBA_standard
0.09EGM4,0.0025360341350341518,0.8407267244408402,0.07518627888708651,0.006346946691934325,0.011172779497354516,0.06403123634775015,0.09,RBA_standard
0.09EGM5,0.0025350556965036486,0.8405791865040285,0.07511250991868064,0.006340719389334417,0.011401292143702545,0.06403123634775015,0.09,RBA_standard
0.09EGM6,0.0025350556965036486,0.8405791865040285,0.07511250991868065,0.006340719389334417,0.011172779497354518,0.06425974899409818,0.09,RBA_standard
0.09EGM7,0.002763568342851678,0.8405791865040286,0.07511250991868065,0.006340719389334418,0.011172779497354518,0.06403123634775017,0.09,RBA_standard
0.09EGM8,0.0025350556965036486,0.8408076991503767,0.07511250991868065,0.006340719389334418,0.011172779497354518,0.06403123634775017,0.09,RBA_standard
0.095EGM1,0.0025207441881291985,0.8369455264641069,0.07440703591129136,0.006281165891226479,0.011128990476190495,0.06745594874035246,0.095,RBA_standard
0.095EGM2,0.0025226801727088674,0.8378140718225833,0.07479714289693831,0.006281165891226478,0.011128990476190495,0.06745594874035246,0.095,RBA_standard
0.095EGM3,0.0025226801727088674,0.8378140718225833,0.07440703591129136,0.00667127287687342,0.011128990476190495,0.06745594874035246,0.095,RBA_standard
0.095EGM4,0.0025243505209888227,0.8380659422582816,0.07453297112914041,0.006291796875046351,0.011128990476190499,0.06745594874035248,0.095,RBA_standard
0.095EGM5,0.002522680172708867,0.8378140718225832,0.07440703591129136,0.006281165891226478,0.011519097461837439,0.06745594874035248,0.095,RBA_standard
0.095EGM6,0.0025226801727088683,0.8378140718225834,0.07440703591129137,0.00628116589122648,0.011128990476190499,0.06784605572599943,0.095,RBA_standard
0.095EGM7,0.0029127871583558094,0.8378140718225833,0.07440703591129136,0.006281165891226478,0.011128990476190495,0.06745594874035246,0.095,RBA_standard
0.095EGM8,0.0025226801727088674,0.8382041788082303,0.07440703591129136,0.006281165891226478,0.011128990476190495,0.06745594874035246,0.095,RBA_standard
0.1EGM1,0.0025114040745874686,0.8352977537951671,0.07376343859056637,0.006226835793419033,0.011094021164021183,0.07089461676617648,0.1,RBA_standard
0.1EGM2,0.00251172904010713,0.8354435438478002,0.07382925338847622,0.006226835793419034,0.011094021164021183,0.07089461676617645,0.1,RBA_standard
0.1EGM3,0.0025117290401071297,0.8354435438478001,0.07376343859056637,0.006292650591328873,0.011094021164021181,0.07089461676617646,0.1,RBA_standard
0.1EGM4,0.002512010843916159,0.8354860368111019,0.07378468507221736,0.006228629342566909,0.011094021164021181,0.07089461676617648,0.1,RBA_standard
0.1EGM5,0.00251172904010713,0.8354435438478002,0.07376343859056639,0.0062268357934190345,0.011159835961931024,0.07089461676617648,0.1,RBA_standard
0.1EGM6,0.0025117290401071297,0.8354435438478,0.07376343859056636,0.006226835793419033,0.011094021164021183,0.07096043156408631,0.1,RBA_standard
0.1EGM7,0.0025775438380169703,0.8354435438478002,0.07376343859056639,0.006226835793419034,0.011094021164021183,0.07089461676617645,0.1,RBA_standard
0.1EGM8,0.00251172904010713,0.8355093586457099,0.07376343859056639,0.006226835793419034,0.011094021164021183,0.07089461676617645,0.1,RBA_standard
0.105EGM1,0.0024983124173621114,0.8321830435309525,0.07306513209043974,0.006167887349679836,0.011050386904761926,0.07429281345565755,0.105,RBA_standard
0.105EGM2,0.0024994485829158944,0.83269276418088,0.07329669952610458,0.006167887349679837,0.011050386904761926,0.07429281345565755,0.105,RBA_standard
0.105EGM3,0.0024994485829158944,0.83269276418088,0.07306513209043974,0.006399454785344673,0.011050386904761926,0.07429281345565755,0.105,RBA_standard
0.105EGM4,0.002500440101350805,0.8328422744256598,0.07313988721282966,0.0061741978997400465,0.011050386904761927,0.07429281345565757,0.105,RBA_standard
0.105EGM5,0.0024994485829158944,0.83269276418088,0.07306513209043974,0.0061678873496798375,0.01128195434042676,0.07429281345565755,0.105,RBA_standard
0.105EGM6,0.0024994485829158944,0.83269276418088,0.07306513209043976,0.006167887349679837,0.011050386904761926,0.07452438089132239,0.105,RBA_standard
0.105EGM7,0.0027310160185807283,0.83269276418088,0.07306513209043974,0.006167887349679837,0.011050386904761926,0.07429281345565755,0.105,RBA_standard
0.105EGM8,0.0024994485829158944,0.8329243316165449,0.07306513209043974,0.006167887349679837,0.011050386904761926,0.07429281345565755,0.105,RBA_standard
0.11EGM1,0.002485270838331509,0.8290758321241184,0.07237061447740392,0.006109258749730532,0.011006838624338645,0.07767705451191696,0.11,RBA_standard
0.11EGM2,0.0024872183798246893,0.8299495622881418,0.0727700674460473,0.006109258749730533,0.011006838624338646,0.07767705451191696,0.11,RBA_standard
0.11EGM3,0.0024872183798246893,0.8299495622881418,0.07237061447740392,0.006508711718373915,0.011006838624338646,0.07767705451191696,0.11,RBA_standard
0.11EGM4,0.002488928745451672,0.8302074669065026,0.07249956678658426,0.006120144425205954,0.011006838624338645,0.07767705451191698,0.11,RBA_standard
0.11EGM5,0.002487218379824689,0.8299495622881418,0.07237061447740392,0.006109258749730533,0.01140629159298203,0.07767705451191699,0.11,RBA_standard
0.11EGM6,0.002487218379824689,0.8299495622881418,0.07237061447740392,0.006109258749730533,0.011006838624338646,0.07807650748056034,0.11,RBA_standard
0.11EGM7,0.002886671348468073,0.8299495622881418,0.07237061447740392,0.006109258749730533,0.011006838624338646,0.07767705451191696,0.11,RBA_standard
0.11EGM8,0.0024872183798246893,0.8303490152567851,0.07237061447740392,0.006109258749730533,0.011006838624338646,0.07767705451191696,0.11,RBA_standard
0.115EGM1,0.0024760004616093964,0.827421237750161,0.07173666360604539,0.0060557429693863475,0.010972061904761922,0.08107943789136457,0.115,RBA_standard
0.115EGM2,0.0024763951934033933,0.8275983272120913,0.07181803482899247,0.0060557429693863475,0.010972061904761923,0.08107943789136456,0.115,RBA_standard
0.115EGM3,0.0024763951934033937,0.8275983272120913,0.07173666360604539,0.006137114192333448,0.010972061904761925,0.08107943789136456,0.115,RBA_standard
0.115EGM4,0.002476743606242149,0.8276508640958977,0.07176293204794856,0.006057960453785196,0.010972061904761925,0.08107943789136456,0.115,RBA_standard
